Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,0,0,0,0,-0.3
344,B,1,0,0,0,0,-0.3
344,C,1,237,57.89902280130293,0,0,-0.3
344,D,1,0,0,0,0,-0.3
344,E,1,213,54.10668924640136,0,0,-0.3
345,A,1,0,0,0,0,-0.3
345,B,1,0,0,0,0,-0.3
345,C,1,233,56.921824104234524,0,0,-0.3
345,D,1,0,0,0,0,-0.3
345,E,1,210,53.3446232006774,0,0,-0.3
346,A,1,0,0,0,0,-0.3
346,B,1,0,0,0,0,-0.3
346,C,1,224,54.723127035830615,0,0,-0.3
346,D,1,0,0,0,0,-0.3
346,E,1,203,51.56646909398815,0,0,-0.3
347,A,1,0,0,0,0,-0.3
347,B,1,0,0,0,0,-0.3
347,C,1,220,53.74592833876221,0,0,-0.3
347,D,1,0,0,0,0,-0.3
347,E,1,205,52.07451312447079,0,0,-0.3
348,A,1,0,0,0,0,-0.3
348,B,1,0,0,0,0,-0.3
348,C,1,226,55.211726384364816,0,0,-0.3
348,D,1,0,0,0,0,-0.3
348,E,1,214,54.36071126164268,0,0,-0.3
349,A,1,0,0,0,0,-0.3
349,B,1,0,0,0,0,-0.3
349,C,1,344,84.03908794788273,0,0,-0.3
349,D,1,0,0,0,0,-0.3
349,E,1,314,79.76291278577477,0,0,-0.3
350,A,1,0,0,0,0,-0.3
350,B,1,0,0,0,0,-0.3
350,C,1,380,92.83387622149836,0,0,-0.3
350,D,1,0,0,0,0,-0.3
350,E,1,362,91.95596951735817,0,0,-0.3
351,A,1,0,0,0,0,-0.3
351,B,1,0,0,0,0,-0.3
351,C,1,235,57.410423452768725,0,0,-0.3
351,D,1,0,0,0,0,-0.3
351,E,1,228,57.91701947502117,0,0,-0.3
352,A,1,0,0,0,0,-0.3
352,B,1,0,0,0,0,-0.3
352,C,1,227,55.45602605863191,0,0,-0.3
352,D,1,0,0,0,0,-0.3
352,E,1,220,55.8848433530906,0,0,-0.3
353,A,1,0,0,0,0,-0.3
353,B,1,0,0,0,0,-0.3
353,C,1,215,52.524429967426705,0,0,-0.3
353,D,1,0,0,0,0,-0.3
353,E,1,209,53.09060118543607,0,0,-0.3
354,A,1,0,0,0,0,-0.3
354,B,1,0,0,0,0,-0.3
354,C,1,211,51.5472312703583,0,0,-0.3
354,D,1,0,0,0,0,-0.3
354,E,1,203,51.56646909398815,0,0,-0.3
355,A,1,0,0,0,0,-0.3
355,B,1,0,0,0,0,-0.3
355,C,1,261,63.76221498371335,0,0,-0.3
355,D,1,0,0,0,0,-0.3
355,E,1,255,64.77561388653683,0,0,-0.3
END SIM
344,A,1,77,20.221768310475635,0,0,-0.3
344,B,1,0,0,0,0,-0.3
344,C,1,90,21.986970684039086,0,0,-0.3
344,D,1,0,0,0,0,-0.3
344,E,1,1125,285.77476714648606,0,0,-0.3
345,A,1,77,20.221768310475635,0,0,-0.3
345,B,1,0,0,0,0,-0.3
345,C,1,89,21.742671009771986,0,0,-0.3
345,D,1,0,0,0,0,-0.3
345,E,1,1097,278.662150719729,0,0,-0.3
346,A,1,74,19.43390720747009,0,0,-0.3
346,B,1,0,0,0,0,-0.3
346,C,1,86,21.009771986970684,0,0,-0.3
346,D,1,0,0,0,0,-0.3
346,E,1,1051,266.9771380186283,0,0,-0.3
347,A,1,78,20.48438867814415,0,0,-0.3
347,B,1,0,0,0,0,-0.3
347,C,1,82,20.032573289902277,0,0,-0.3
347,D,1,0,0,0,0,-0.3
347,E,1,1002,254.53005927180357,0,0,-0.3
348,A,1,83,21.79749051648672,0,0,-0.3
348,B,1,0,0,0,0,-0.3
348,C,1,84,20.52117263843648,0,0,-0.3
348,D,1,0,0,0,0,-0.3
348,E,1,990,251.48179508890772,0,0,-0.3
349,A,1,138,36.241610738255034,0,0,-0.3
349,B,1,0,0,0,0,-0.3
349,C,1,115,28.09446254071661,0,0,-0.3
349,D,1,0,0,0,0,-0.3
349,E,1,1483,376.7146486028789,0,0,-0.3
350,A,1,162,42.544499562299386,0,0,-0.3
350,B,1,3,0.7260016133369185,0,0,-0.3
350,C,1,128,31.27035830618892,0,0,-0.3
350,D,1,0,0,0,0,-0.3
350,E,1,1699,431.58340389500427,0,0,-0.3
351,A,1,107,28.100379340531077,0,0,-0.3
351,B,1,1,0.24200053777897282,0,0,-0.3
351,C,1,75,18.322475570032573,0,0,-0.3
351,D,1,0,0,0,0,-0.3
351,E,1,1062,269.77138018628284,0,0,-0.3
352,A,1,105,27.575138605194045,0,0,-0.3
352,B,1,1,0.24200053777897282,0,0,-0.3
352,C,1,73,17.833876221498368,0,0,-0.3
352,D,1,0,0,0,0,-0.3
352,E,1,1030,261.64267569856054,0,0,-0.3
353,A,1,101,26.524657134519988,0,0,-0.3
353,B,1,1,0.24200053777897282,0,0,-0.3
353,C,1,68,16.612377850162865,0,0,-0.3
353,D,1,0,0,0,0,-0.3
353,E,1,974,247.41744284504657,0,0,-0.3
354,A,1,101,26.524657134519988,0,0,-0.3
354,B,1,1,0.24200053777897282,0,0,-0.3
354,C,1,70,17.100977198697066,0,0,-0.3
354,D,1,0,0,0,0,-0.3
354,E,1,954,242.33700254022017,0,0,-0.3
355,A,1,121,31.777064487890282,0,0,-0.3
355,B,1,1,0.24200053777897282,0,0,-0.3
355,C,1,87,21.254071661237784,0,0,-0.3
355,D,1,0,0,0,0,-0.3
355,E,1,1198,304.3183742591025,0,0,-0.3
END SIM
344,A,1,0,0,0,0,-0.3
