Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,0,0,0,0,0
344,B,1,0,0,0,0,0
344,C,1,0,0,0,0,0
344,D,1,0,0,0,0,0
344,E,1,13,3.302286198137172,0,0,0
345,A,1,0,0,0,0,0
345,B,1,0,0,0,0,0
345,C,1,0,0,0,0,0
345,D,1,0,0,0,0,0
345,E,1,12,3.048264182895851,0,0,0
346,A,1,0,0,0,0,0
346,B,1,0,0,0,0,0
346,C,1,0,0,0,0,0
346,D,1,0,0,0,0,0
346,E,1,11,2.7942421676545304,0,0,0
347,A,1,0,0,0,0,0
347,B,1,0,0,0,0,0
347,C,1,0,0,0,0,0
347,D,1,0,0,0,0,0
347,E,1,7,1.7781541066892466,0,0,0
348,A,1,0,0,0,0,0
348,B,1,0,0,0,0,0
348,C,1,0,0,0,0,0
348,D,1,0,0,0,0,0
348,E,1,11,2.7942421676545304,0,0,0
349,A,1,0,0,0,0,0
349,B,1,0,0,0,0,0
349,C,1,0,0,0,0,0
349,D,1,0,0,0,0,0
349,E,1,16,4.064352243861134,0,0,0
350,A,1,0,0,0,0,0
350,B,1,0,0,0,0,0
350,C,1,0,0,0,0,0
350,D,1,0,0,0,0,0
350,E,1,16,4.064352243861134,0,0,0
351,A,1,0,0,0,0,0
351,B,1,0,0,0,0,0
351,C,1,0,0,0,0,0
351,D,1,0,0,0,0,0
351,E,1,9,2.2861981371718882,0,0,0
352,A,1,0,0,0,0,0
352,B,1,0,0,0,0,0
352,C,1,0,0,0,0,0
352,D,1,0,0,0,0,0
352,E,1,8,2.032176121930567,0,0,0
353,A,1,0,0,0,0,0
353,B,1,0,0,0,0,0
353,C,1,0,0,0,0,0
353,D,1,0,0,0,0,0
353,E,1,8,2.032176121930567,0,0,0
354,A,1,0,0,0,0,0
354,B,1,0,0,0,0,0
354,C,1,0,0,0,0,0
354,D,1,0,0,0,0,0
354,E,1,9,2.2861981371718882,0,0,0
355,A,1,0,0,0,0,0
355,B,1,0,0,0,0,0
355,C,1,0,0,0,0,0
355,D,1,0,0,0,0,0
355,E,1,12,3.048264182895851,0,0,0
END SIM
344,A,1,9,2.3635833090166325,0,0,0
344,B,1,8,1.9360043022317825,0,0,0
344,C,1,21,5.13029315960912,0,0,0
344,D,1,0,0,0,0,0
344,E,1,1380,350.55038103302286,0,0,0
345,A,1,9,2.3635833090166325,0,0,0
345,B,1,8,1.9360043022317825,0,0,0
345,C,1,21,5.13029315960912,0,0,0
345,D,1,0,0,0,0,0
345,E,1,1359,345.21591871295516,0,0,0
346,A,1,9,2.3635833090166325,0,0,0
346,B,1,8,1.9360043022317825,0,0,0
346,C,1,20,4.885993485342019,0,0,0
346,D,1,0,0,0,0,0
346,E,1,1307,332.00677392040643,0,0,0
347,A,1,8,2.1009629413481177,0,0,0
347,B,1,8,1.9360043022317825,0,0,0
347,C,1,20,4.885993485342019,0,0,0
347,D,1,0,0,0,0,0
347,E,1,1315,334.03895004233704,0,0,0
348,A,1,11,2.888824044353662,0,0,0
348,B,1,8,1.9360043022317825,0,0,0
348,C,1,17,4.153094462540716,0,0,0
348,D,1,0,0,0,0,0
348,E,1,1303,330.99068585944116,0,0,0
349,A,1,15,3.939305515027721,0,0,0
349,B,1,13,3.146006991126647,0,0,0
349,C,1,30,7.328990228013029,0,0,0
349,D,1,0,0,0,0,0
349,E,1,1885,478.8314987298899,0,0,0
350,A,1,17,4.464546250364751,0,0,0
350,B,1,11,2.662005915568701,0,0,0
350,C,1,29,7.0846905537459275,0,0,0
350,D,1,0,0,0,0,0
350,E,1,2013,511.346316680779,0,0,0
351,A,1,12,3.1514444120221765,0,0,0
351,B,1,9,2.1780048400107557,0,0,0
351,C,1,19,4.641693811074918,0,0,0
351,D,1,0,0,0,0,0
351,E,1,1351,343.18374259102455,0,0,0
352,A,1,12,3.1514444120221765,0,0,0
352,B,1,9,2.1780048400107557,0,0,0
352,C,1,18,4.397394136807817,0,0,0
352,D,1,0,0,0,0,0
352,E,1,1286,326.67231160033873,0,0,0
353,A,1,11,2.888824044353662,0,0,0
