Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,98,25.736796031514444,0,0,0
344,B,1,0,0,0,0,0
344,C,1,116,28.33876221498371,0,0,0
344,D,1,0,0,0,0,0
344,E,1,1289,327.43437764606267,0,0,0
345,A,1,92,24.161073825503355,0,0,0
345,B,1,0,0,0,0,0
345,C,1,115,28.09446254071661,0,0,0
345,D,1,0,0,0,0,0
345,E,1,1263,320.8298052497883,0,0,0
346,A,1,89,23.37321272249781,0,0,0
346,B,1,0,0,0,0,0
346,C,1,109,26.628664495114005,0,0,0
346,D,1,0,0,0,0,0
346,E,1,1207,306.60457239627436,0,0,0
347,A,1,92,24.161073825503355,0,0,0
347,B,1,1,0.24200053777897282,0,0,0
347,C,1,114,27.85016286644951,0,0,0
347,D,1,0,0,0,0,0
347,E,1,1240,314.98729889923794,0,0,0
348,A,1,93,24.42369419317187,0,0,0
348,B,1,1,0.24200053777897282,0,0,0
348,C,1,118,28.82736156351791,0,0,0
348,D,1,0,0,0,0,0
348,E,1,1254,318.5436071126164,0,0,0
349,A,1,129,33.8780274292384,0,0,0
349,B,1,1,0.24200053777897282,0,0,0
349,C,1,176,42.99674267100977,0,0,0
349,D,1,0,0,0,0,0
349,E,1,1752,445.04657070279427,0,0,0
350,A,1,152,39.918295885614235,0,0,0
350,B,1,0,0,0,0,0
350,C,1,184,44.951140065146575,0,0,0
350,D,1,0,0,0,0,0
350,E,1,1887,479.3395427603726,0,0,0
351,A,1,101,26.524657134519988,0,0,0
351,B,1,0,0,0,0,0
351,C,1,129,31.514657980456022,0,0,0
351,D,1,0,0,0,0,0
351,E,1,1245,316.25740897544455,0,0,0
352,A,1,95,24.948934928508898,0,0,0
352,B,1,0,0,0,0,0
352,C,1,124,30.29315960912052,0,0,0
352,D,1,0,0,0,0,0
352,E,1,1190,302.2861981371719,0,0,0
353,A,1,93,24.42369419317187,0,0,0
353,B,1,0,0,0,0,0
353,C,1,118,28.82736156351791,0,0,0
353,D,1,0,0,0,0,0
353,E,1,1111,282.21845893310757,0,0,0
354,A,1,96,25.211555296177412,0,0,0
354,B,1,0,0,0,0,0
354,C,1,113,27.605863192182408,0,0,0
354,D,1,0,0,0,0,0
354,E,1,1102,279.93226079593563,0,0,0
355,A,1,110,28.88824044353662,0,0,0
355,B,1,0,0,0,0,0
355,C,1,146,35.667752442996736,0,0,0
355,D,1,0,0,0,0,0
355,E,1,1370,348.01016088060965,0,0,0
END SIM
344,A,1,307,80.62445287423402,0,0,0
344,B,1,12,2.904006453347674,0,0,0
344,C,1,645,157.57328990228012,0,0,0
344,D,1,5,1.7921146953405018,0,0,0
344,E,1,7307,1856.138865368332,0,0,0
345,A,1,301,79.04873066822293,0,0,0
345,B,1,12,2.904006453347674,0,0,0
345,C,1,632,154.3973941368078,0,0,0
345,D,1,5,1.7921146953405018,0,0,0
345,E,1,7189,1826.164267569856,0,0,0
346,A,1,296,77.73562882988035,0,0,0
346,B,1,12,2.904006453347674,0,0,0
346,C,1,611,149.26710097719868,0,0,0
346,D,1,5,1.7921146953405018,0,0,0
346,E,1,6876,1746.6553767993228,0,0,0
347,A,1,298,78.26086956521739,0,0,0
347,B,1,8,1.9360043022317825,0,0,0
347,C,1,625,152.6872964169381,0,0,0
347,D,1,5,1.7921146953405018,0,0,0
347,E,1,7019,1782.9805249788315,0,0,0
348,A,1,295,77.47300846221185,0,0,0
348,B,1,8,1.9360043022317825,0,0,0
348,C,1,650,158.7947882736156,0,0,0
348,D,1,7,2.5089605734767026,0,0,0
348,E,1,6901,1753.0059271803557,0,0,0
349,A,1,448,117.6539247154946,0,0,0
349,B,1,13,3.146006991126647,0,0,0
349,C,1,950,232.0846905537459,0,0,0
349,D,1,8,2.867383512544803,0,0,0
349,E,1,9906,2516.342082980525,0,0,0
350,A,1,477,125.26991537788152,0,0,0
350,B,1,13,3.146006991126647,0,0,0
350,C,1,1028,251.1400651465798,0,0,0
350,D,1,10,3.5842293906810037,0,0,0
350,E,1,10591,2690.34716342083,0,0,0
351,A,1,331,86.92734169827837,0,0,0
351,B,1,8,1.9360043022317825,0,0,0
351,C,1,724,176.87296416938108,0,0,0
351,D,1,7,2.5089605734767026,0,0,0
351,E,1,7073,1796.6977138018628,0,0,0
352,A,1,318,83.51327691858768,0,0,0
352,B,1,8,1.9360043022317825,0,0,0
352,C,1,692,169.05537459283386,0,0,0
352,D,1,7,2.5089605734767026,0,0,0
352,E,1,6738,1711.6003386960203,0,0,0
353,A,1,310,81.41231397723956,0,0,0
353,B,1,8,1.9360043022317825,0,0,0
353,C,1,661,161.48208469055373,0,0,0
353,D,1,7,2.5089605734767026,0,0,0
353,E,1,6375,1619.390347163421,0,0,0
354,A,1,303,79.57397140355997,0,0,0
354,B,1,9,2.1780048400107557,0,0,0
354,C,1,663,161.97068403908793,0,0,0
354,D,1,7,2.5089605734767026,0,0,0
354,E,1,6377,1619.8983911939035,0,0,0
355,A,1,376,98.74525824336153,0,0,0
