PRISM Time Series Data,,,,,,,,,,,
Location:  Lat: 43.8300   Lon: -74.6330   Elev: 546m,,,,,,,,,,,
Climate variable: tmean,,,,,,,,,,,
Period: 1985-01-01 - 2016-06-07,,,,,,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,,,,,,
Grid Cell Interpolation: Off,,,,,,,,,,,
Time series generated: 2016-Jun-08,,,,,,,,,,,
Date,tmean (degrees C),1,2,3,4,5,6,7,8,9,10
1/1/85,-1.9,0,2,4,6,8,9,10,10,10,10
1/2/85,0.3,-1.32558E-07,1.999999932,3.999999954,5.999999966,7.999999972,8.999999979,9.999999983,9.999999987,9.99999999,9.999999992
1/3/85,-9,-1.11628E-07,1.999999902,3.999999926,5.999999941,7.999999951,8.999999962,9.999999969,9.999999976,9.999999981,9.999999985
1/4/85,-9.5,-7.39535E-07,1.99999971,3.999999825,5.999999875,7.999999903,8.999999927,9.999999942,9.999999956,9.999999965,9.999999972
1/5/85,-6.6,-1.40233E-06,1.99999951,3.99999972,5.999999808,7.999999855,8.999999891,9.999999914,9.999999934,9.999999948,9.999999958
1/6/85,-11.7,-1.86279E-06,1.99999936,3.999999638,5.999999753,7.999999814,8.999999861,9.999999891,9.999999916,9.999999934,9.999999946
1/7/85,-9.6,-2.67907E-06,1.999999121,3.999999516,5.999999676,7.999999759,8.999999821,9.99999986,9.999999893,9.999999915,9.999999931
1/8/85,-12.9,-3.34884E-06,1.999998919,3.999999411,5.999999608,7.99999971,8.999999785,9.999999832,9.999999871,9.999999898,9.999999918
1/9/85,-20.1,-4.24884E-06,1.999998659,3.99999928,5.999999525,7.999999651,8.999999742,9.999999799,9.999999846,9.999999879,9.999999902
1/10/85,-19.7,-5.65116E-06,1.999998273,3.999999093,5.999999411,7.999999573,8.999999686,9.999999757,9.999999814,9.999999853,9.999999881
1/11/85,-17.8,-7.02558E-06,1.999997895,3.999998909,5.999999299,7.999999496,8.99999963,9.999999714,9.999999781,9.999999827,9.99999986
1/12/85,-15,-8.26744E-06,1.999997549,3.99999874,5.999999195,7.999999424,8.999999578,9.999999675,9.999999751,9.999999803,9.999999841
1/13/85,-10.9,-9.31395E-06,1.999997253,3.999998593,5.999999104,7.99999936,8.999999532,9.999999639,9.999999724,9.999999782,9.999999823
1/14/85,-8.5,-1.00744E-05,1.999997028,3.999998478,5.99999903,7.999999307,8.999999493,9.999999609,9.999999701,9.999999764,9.999999809
1/15/85,-8.6,-1.06674E-05,1.999996845,3.999998381,5.999998967,7.999999261,8.999999459,9.999999583,9.999999681,9.999999748,9.999999796
1/16/85,-20.6,-1.12674E-05,1.99999666,3.999998283,5.999998903,7.999999214,8.999999425,9.999999556,9.99999966,9.999999732,9.999999783
1/17/85,-19.8,-1.27046E-05,1.999996266,3.999998092,5.999998787,7.999999135,8.999999368,9.999999513,9.999999627,9.999999705,9.999999761
1/18/85,-12.2,-1.4086E-05,1.999995885,3.999997908,5.999998675,7.999999057,8.999999312,9.99999947,9.999999595,9.99999968,9.999999741
1/19/85,-9.1,-1.49372E-05,1.999995638,3.999997782,5.999998595,7.999999001,8.999999271,9.999999439,9.99999957,9.999999661,9.999999725
1/20/85,-11.2,-1.55721E-05,1.999995444,3.999997681,5.99999853,7.999998953,8.999999236,9.999999412,9.99999955,9.999999644,9.999999712
1/21/85,-18.5,-1.63535E-05,1.999995214,3.999997563,5.999998455,7.999998899,8.999999197,9.999999381,9.999999526,9.999999626,9.999999697
1/22/85,-15.9,-1.76442E-05,1.999994856,3.999997388,5.999998348,7.999998825,8.999999144,9.999999341,9.999999495,9.999999601,9.999999677
1/23/85,-9.3,-1.87535E-05,1.999994544,3.999997234,5.999998252,7.999998759,8.999999095,9.999999304,9.999999467,9.999999579,9.999999659
1/24/85,-7.2,-1.94023E-05,1.999994347,3.999997131,5.999998186,7.99999871,8.99999906,9.999999277,9.999999446,9.999999562,9.999999646
1/25/85,-7.4,-1.99046E-05,1.999994187,3.999997044,5.999998128,7.999998668,8.999999028,9.999999252,9.999999427,9.999999548,9.999999634
1/26/85,-9.5,-2.04209E-05,1.999994023,3.999996956,5.99999807,7.999998625,8.999998997,9.999999227,9.999999408,9.999999533,9.999999621
1/27/85,-12.9,-2.10837E-05,1.999993822,3.999996851,5.999998002,7.999998576,8.999998961,9.9999992,9.999999387,9.999999516,9.999999608
1/28/85,-9.7,-2.19837E-05,1.999993562,3.99999672,5.99999792,7.999998518,8.999998918,9.999999167,9.999999362,9.999999496,9.999999592
1/29/85,-10.7,-2.26604E-05,1.999993358,3.999996614,5.999997851,7.999998468,8.999998882,9.999999139,9.999999341,9.999999479,9.999999578
1/30/85,-16,-2.3407E-05,1.999993137,3.9999965,5.999997778,7.999998416,8.999998844,9.999999109,9.999999318,9.999999461,9.999999564
1/31/85,-14.7,-2.45232E-05,1.999992823,3.999996345,5.999997682,7.999998349,8.999998796,9.999999072,9.99999929,9.999999439,9.999999545
2/1/85,-10.1,-2.55488E-05,1.999992531,3.9999962,5.999997592,7.999998286,8.99999875,9.999999037,9.999999263,9.999999418,9.999999528
2/2/85,-7.4,-2.62535E-05,1.99999232,3.999996091,5.999997522,7.999998235,8.999998713,9.999999009,9.999999241,9.9999994,9.999999514
2/3/85,-16,-2.67697E-05,1.999992156,3.999996002,5.999997464,7.999998192,8.999998681,9.999998984,9.999999222,9.999999385,9.999999502
2/4/85,-14.7,-2.7886E-05,1.999991842,3.999995847,5.999997368,7.999998125,8.999998632,9.999998947,9.999999194,9.999999363,9.999999484
