"Gravelly"|"70168462"|"18902971"
"Gravelly"|"70168463"|"18902972"
"Gravelly"|"70168464"|"18902973"
"Very gravelly"|"70167821"|"18902876"
"Very gravelly"|"70167291"|"18902870"
"Gravelly"|"70167989"|"18902688"
"Very gravelly"|"70167822"|"18902877"
"Cobbly"|"70167990"|"18902689"
"Very gravelly"|"70168293"|"18902772"
"Very cobbly"|"70168294"|"18902773"
"Extremely gravelly"|"70168295"|"18902774"
"Extremely gravelly"|"70167452"|"18902871"
"Very gravelly"|"70167454"|"18902969"
"Gravelly"|"70168456"|"18902687"
"Gravelly"|"70167817"|"18902684"
"Gravelly"|"70166634"|"18902850"
"Very gravelly"|"70166470"|"18902851"
"Gravelly"|"70166471"|"18902661"
"Gravelly"|"70167732"|"18903045"
"Gravelly"|"70168468"|"18902879"
"Gravelly"|"70166639"|"18902853"
"Gravelly"|"70166305"|"18902753"
"Very gravelly"|"70167294"|"18902336"
"Gravelly"|"70167727"|"18902337"
"Gravelly"|"70167292"|"18902496"
"Very gravelly"|"70166291"|"18902682"
"Gravelly"|"70166163"|"18902016"
"Gravelly"|"70166663"|"18902176"
"Gravelly"|"70166164"|"18902338"
"Very gravelly"|"70166664"|"18902339"
"Very gravelly"|"70166165"|"18902340"
"Gravelly"|"70166501"|"18902341"
"Very gravelly"|"70166502"|"18902177"
"Cobbly"|"70166503"|"18902017"
"Extremely gravelly"|"70166504"|"18902178"
"Very gravelly"|"70166166"|"18902018"
"Very cobbly"|"70166665"|"18902497"
"Extremely gravelly"|"70166167"|"18902498"
"Gravelly"|"70166143"|"18902664"
"Gravelly"|"70166482"|"18902949"
"Extremely gravelly"|"70166507"|"18902181"
"Very gravelly"|"70166508"|"18902021"
"Very cobbly"|"70166170"|"18902499"
"Extremely gravelly"|"70166668"|"18902500"
"Gravelly"|"70166326"|"18902019"
"Gravelly"|"70166327"|"18902179"
"Gravelly"|"70166666"|"18902342"
"Very gravelly"|"70166168"|"18902343"
"Very gravelly"|"70166667"|"18902344"
"Gravelly"|"70166169"|"18902345"
"Very gravelly"|"70166505"|"18902180"
"Cobbly"|"70166506"|"18902020"
"Gravelly"|"70166485"|"18902665"
"Gravelly"|"70166149"|"18902754"
"Gravelly"|"70167835"|"18902776"
"Gravelly"|"70168302"|"18902692"
"Very gravelly"|"70168303"|"18902883"
