"ML"|"No "|"35124849"|"66587996"
"SM"|"Yes"|"35124849"|"66587997"
"ML"|"No "|"35124850"|"66587998"
"SM"|"Yes"|"35124850"|"66587999"
"SM"|"Yes"|"35124851"|"66588000"
"SP"|"No "|"35124851"|"66588001"
"SP-SM"|"No "|"35124851"|"66588002"
"ML"|"Yes"|"35124852"|"66588003"
"SM"|"No "|"35124852"|"66588004"
"ML"|"Yes"|"35124853"|"66588005"
"SM"|"No "|"35124853"|"66588006"
"ML"|"Yes"|"35124854"|"66588007"
"SM"|"No "|"35124854"|"66588008"
"SM"|"Yes"|"35124855"|"66588009"
"GM"|"No "|"35124855"|"66588010"
"SP-SM"|"No "|"35124855"|"66588011"
"GP-GM"|"No "|"35124855"|"66588012"
"PT"|"Yes"|"35124822"|"66587934"
"PT"|"Yes"|"35124823"|"66587935"
"PT"|"Yes"|"35124824"|"66587936"
"PT"|"Yes"|"35124825"|"66587937"
"PT"|"Yes"|"35124826"|"66587938"
"CL"|"No "|"35124827"|"66587939"
"CL-ML"|"No "|"35124827"|"66587940"
"ML"|"No "|"35124827"|"66587941"
"SM"|"No "|"35124827"|"66587942"
"SC"|"Yes"|"35124827"|"66587943"
"PT"|"Yes"|"35124828"|"66587944"
"PT"|"Yes"|"35124829"|"66587945"
"CL"|"No "|"35124830"|"66587946"
"CL-ML"|"No "|"35124830"|"66587947"
"ML"|"No "|"35124830"|"66587948"
"SM"|"No "|"35124830"|"66587949"
"SC"|"Yes"|"35124830"|"66587950"
"SM"|"Yes"|"35124831"|"66587951"
"SP-SM"|"No "|"35124831"|"66587952"
"GM"|"No "|"35124831"|"66587953"
"GP-GM"|"No "|"35124831"|"66587954"
"GM"|"No "|"35124832"|"66587955"
"GW-GM"|"No "|"35124832"|"66587956"
"SM"|"Yes"|"35124832"|"66587957"
"GM"|"No "|"35124833"|"66587958"
"GW"|"No "|"35124833"|"66587959"
"SP-SM"|"No "|"35124833"|"66587960"
"SP"|"Yes"|"35124833"|"66587961"
"GP"|"Yes"|"35124834"|"66587962"
"GW"|"No "|"35124834"|"66587963"
"SP"|"No "|"35124834"|"66587964"
"SW"|"No "|"35124834"|"66587965"
"SM"|"Yes"|"35124835"|"66587966"
"GM"|"No "|"35124835"|"66587967"
"SP-SM"|"No "|"35124835"|"66587968"
"GP-GM"|"No "|"35124835"|"66587969"
"ML"|"Yes"|"35124836"|"66587970"
"SM"|"No "|"35124836"|"66587971"
"ML"|"Yes"|"35124837"|"66587972"
"SM"|"No "|"35124837"|"66587973"
"ML"|"Yes"|"35124838"|"66587974"
"SM"|"No "|"35124838"|"66587975"
"PT"|"Yes"|"35124839"|"66587976"
"CL"|"No "|"35124840"|"66587977"
"CL-ML"|"No "|"35124840"|"66587978"
"ML"|"No "|"35124840"|"66587979"
"SM"|"No "|"35124840"|"66587980"
"SC"|"Yes"|"35124840"|"66587981"
"PT"|"Yes"|"35124841"|"66587982"
"ML"|"Yes"|"35124842"|"66587983"
"SM"|"No "|"35124842"|"66587984"
"ML"|"Yes"|"35124843"|"66587985"
"SM"|"No "|"35124843"|"66587986"
