|"Side Slope"|||"17690882"|"5732913"
|"Side Slope"|||"17690880"|"5732912"
|"Crest"|||"17690878"|"5732911"
|"Side Slope"|||"17690884"|"5732906"
|"Side Slope"|||"17690893"|"5732905"
|"Side Slope"|||"17690891"|"5732904"
|"Crest"|||"17690901"|"5732903"
|"Crest"|||"17690898"|"5732901"
|"Base Slope"|||"17690698"|"5732814"
|"Crest"|||"17690897"|"5732900"
|"Side Slope"|||"17690896"|"5732899"
|"Side Slope"|||"17690907"|"5732898"
|"Side Slope"|||"17690906"|"5732897"
|"Side Slope"|||"17690905"|"5732896"
|"Crest"|||"17690904"|"5732895"
|"Crest"|||"17690903"|"5732894"
|"Base Slope"|||"17690697"|"5732813"
|"Base Slope"|||"17690696"|"5732812"
|"Base Slope"|||"17690695"|"5732811"
|"Base Slope"|||"17690902"|"5732893"
|"Base Slope"|||"17690913"|"5732892"
|"Side Slope"|||"17690912"|"5732891"
|"Base Slope"|||"17690911"|"5732890"
|"Crest"|||"17690910"|"5732889"
|"Side Slope"|||"17690909"|"5732888"
|"Side Slope"|||"17690908"|"5732887"
|"Side Slope"|||"17690919"|"5732886"
|"Side Slope"|||"17690918"|"5732885"
|"Base Slope"|||"17690917"|"5732884"
|"Crest"|||"17690916"|"5732883"
|"Crest"|||"17690915"|"5732882"
|"Side Slope"|||"17690914"|"5732881"
|"Side Slope"|||"17690923"|"5732880"
|"Side Slope"|||"17690921"|"5732879"
|"Crest"|||"17690931"|"5732878"
|||"Talf"|"17690666"|"5732810"
|"Crest"|||"17690929"|"5732877"
|"Crest"|||"17690928"|"5732876"
|"Base Slope"|||"17690927"|"5732875"
|"Crest"|||"17690926"|"5732874"
|"Side Slope"|||"17690937"|"5732873"
|"Side Slope"|||"17690936"|"5732872"
|"Side Slope"|||"17690935"|"5732871"
|"Side Slope"|||"17690934"|"5732870"
|"Crest"|||"17690933"|"5732869"
|"Crest"|||"17690932"|"5732868"
|"Base Slope"|||"17690945"|"5732850"
|"Crest"|||"17690944"|"5732849"
||"Tread"||"17690822"|"5732979"
||"Riser"||"17690822"|"5732980"
|"Base Slope"|||"17690855"|"5732977"
|"Side Slope"|||"17690855"|"5732978"
|"Side Slope"|||"17690854"|"5732976"
|"Side Slope"|||"17690865"|"5732974"
|"Crest"|||"17690865"|"5732975"
|"Base Slope"|||"17690864"|"5732973"
|"Base Slope"|||"17690837"|"5732972"
|"Side Slope"|||"17690863"|"5732970"
"Mountainbase"||||"17690863"|"5732971"
|"Side Slope"|||"17690862"|"5732968"
"Mountainbase"||||"17690862"|"5732969"
|"Side Slope"|||"17690861"|"5732967"
||"Riser"||"17690821"|"5732966"
|"Side Slope"|||"17690860"|"5732965"
|"Side Slope"|||"17690871"|"5732964"
|"Base Slope"|||"17690836"|"5732963"
"Lower third of mountainflank"||||"17690870"|"5732961"
|"Side Slope"|||"17690870"|"5732962"
|"Side Slope"|||"17690869"|"5732959"
"Lower third of mountainflank"||||"17690869"|"5732960"
||"Tread"||"17690819"|"5732956"
||"Riser"||"17690819"|"5732957"
|"Side Slope"|||"17690874"|"5732955"
|"Side Slope"|||"17690873"|"5732953"
|"Crest"|||"17690873"|"5732954"
|"Base Slope"|||"17690834"|"5732952"
|"Side Slope"|||"17690872"|"5732950"
"Lower third of mountainflank"||||"17690872"|"5732951"
"Lower third of mountainflank"||||"17690883"|"5732948"
|"Side Slope"|||"17690883"|"5732949"
"Lower third of mountainflank"||||"17690859"|"5733004"
|"Side Slope"|||"17690859"|"5733005"
|"Side Slope"|||"17690858"|"5733002"
"Lower third of mountainflank"||||"17690858"|"5733003"
|"Side Slope"|||"17690847"|"5733019"
|"Side Slope"|||"17690846"|"5733018"
|"Side Slope"|||"17690845"|"5733017"
|"Side Slope"|||"17690853"|"5733016"
|"Side Slope"|||"17690852"|"5733015"
|"Side Slope"|||"17690868"|"5732958"
|"Side Slope"|||"17690867"|"5732926"
||"Riser"||"17690820"|"5732925"
|"Base Slope"|||"17690835"|"5732924"
|"Side Slope"|||"17690866"|"5732923"
|"Side Slope"|||"17690877"|"5732922"
|"Side Slope"|||"17690876"|"5732920"
"Lower third of mountainflank"||||"17690876"|"5732921"
|"Side Slope"|||"17690875"|"5732918"
"Lower third of mountainflank"||||"17690875"|"5732919"
||"Tread"||"17690823"|"5733013"
||"Riser"||"17690823"|"5733014"
|"Side Slope"|||"17690851"|"5733012"
|"Base Slope"|||"17690838"|"5733011"
|"Base Slope"|||"17690850"|"5733010"
|"Side Slope"|||"17690849"|"5733008"
"Mountainbase"||||"17690849"|"5733009"
|"Side Slope"|||"17690848"|"5733006"
"Mountainbase"||||"17690848"|"5733007"
|"Side Slope"|||"17690857"|"5733000"
|"Crest"|||"17690857"|"5733001"
|"Side Slope"|||"17690856"|"5732999"
|"Base Slope"|||"17690694"|"5732809"
|"Base Slope"|||"17690705"|"5732808"
|"Base Slope"|||"17690844"|"5732848"
|"Crest"|||"17690833"|"5732832"
|"Crest"|||"17690818"|"5732842"
|"Crest"|||"17690843"|"5732847"
|"Base Slope"|||"17690842"|"5732846"
|"Base Slope"|||"17690702"|"5732806"
|"Crest"|||"17690831"|"5732830"
|"Crest"|||"17690816"|"5732840"
|"Crest"|||"17690829"|"5732828"
|"Crest"|||"17690814"|"5732838"
|"Base Slope"|||"17690700"|"5732805"
|"Crest"|||"17690839"|"5732843"
|"Crest"|||"17690826"|"5732825"
|"Crest"|||"17690811"|"5732835"
||"Riser"||"17690774"|"5732986"
||"Riser"||"17690732"|"5732992"
||"Riser"||"17690773"|"5732947"
||"Riser"||"17690738"|"5732940"
||"Riser"||"17690680"|"5732933"
|"Side Slope"|||"17690825"|"5732824"
|"Side Slope"|||"17690810"|"5732834"
||"Tread"||"17690772"|"5732985"
||"Tread"||"17690737"|"5732991"
||"Tread"||"17690780"|"5732946"
||"Tread"||"17690736"|"5732939"
||"Tread"||"17690679"|"5732932"
|"Crest"|||"17690824"|"5732823"
|"Crest"|||"17690809"|"5732833"
||"Riser"||"17690779"|"5732945"
||"Riser"||"17690735"|"5732938"
||"Riser"||"17690678"|"5732931"
||"Riser"||"17690778"|"5732984"
||"Riser"||"17690734"|"5732990"
||"Tread"||"17690777"|"5732944"
||"Tread"||"17690733"|"5732937"
||"Tread"||"17690677"|"5732930"
||"Tread"||"17690776"|"5732983"
||"Tread"||"17690731"|"5732989"
||"Tread"||"17690710"|"5732804"
|||"Talf"|"17690802"|"5732917"
|||"Talf"|"17690763"|"5732821"
||"Tread"||"17690709"|"5732803"
||"Tread"||"17690808"|"5732998"
||"Tread"||"17690770"|"5732996"
||"Tread"||"17690675"|"5732994"
||"Tread"||"17690807"|"5732997"
||"Tread"||"17690769"|"5732995"
||"Tread"||"17690674"|"5732993"
||"Tread"||"17690768"|"5732942"
||"Tread"||"17690728"|"5732935"
||"Tread"||"17690673"|"5732928"
||"Tread"||"17690767"|"5732941"
||"Tread"||"17690727"|"5732934"
||"Tread"||"17690672"|"5732927"
|||"Talf"|"17690783"|"5732916"
|||"Talf"|"17690742"|"5732820"
|||"Dip"|"17690723"|"5732801"
|||"Dip"|"17690741"|"5732819"
|||"Dip"|"17690722"|"5732800"
||"Tread"||"17690766"|"5732981"
||"Tread"||"17690726"|"5732987"
|||"Dip"|"17690721"|"5732818"
|||"Talf"|"17690782"|"5732915"
|||"Talf"|"17690740"|"5732817"
|||"Talf"|"17690781"|"5732914"
|||"Talf"|"17690739"|"5732816"
