24A,Bucksport-Wonsqueak complex,5.3,929.2,1.40%,200,30
25A,"Wonsqueak-Colton-Rumney complex, 0 to 15 percent slopes",4.6,600.5,0.90%,200,21.4
26A,Wonsqueak-Rumney-Bucksport complex,4.6,"3,011.70",4.50%,200,21.4
363B,"Adams loamy sand, 3 to 15 percent slopes",5,214.9,0.30%,200,2.5
365A,Naumburg-Croghan complex,4.7,149.8,0.20%,200,3.5
367A,Searsport-Borosaprists-Naumburg complex,5.7,136.4,0.20%,200,5
375A,"Colton-Adams complex, nearly level",5.2,"1,348.80",2.00%,200,1.5
375C,"Colton-Adams complex, rolling",5.2,269.1,0.40%,200,1.5
375D,"Colton-Adams complex, hilly",5.2,121.9,0.20%,200,1.5
650C,"Monadnock-Adams-Colton complex, rolling, bouldery",4.9,"2,160.00",3.20%,200,3.9
653C,"Monadnock fine sandy loam, 3 to 15 percent slopes, very bouldery",4.9,931.2,1.40%,200,3.9
654C,"Monadnock-Sabattis complex, rolling, very bouldery",4.9,"1,391.00",2.10%,200,3.9
707C,"Adirondack-Becket-Hermon complex, rolling, very bouldery",4.7,556.9,0.80%,66,5.8
708B,"Adirondack-Sabattis-Tughill complex, 0 to 8 percent slopes, very bouldery",4.7,"1,082.70",1.60%,66,5.8
721C,"Becket-Tunbridge-Skerry complex, 3 to 15 percent slopes, rocky, very bouldery",4.5,"4,794.50",7.10%,84,4.3
721D,"Becket-Tunbridge complex, 15 to 35 percent slopes, rocky, very bouldery",4.5,"4,942.00",7.30%,84,4.3
721F,"Becket-Tunbridge complex, 35 to 60 percent slopes, rocky, very bouldery",4.5,167.7,0.20%,84,4.3
723C,"Becket fine sandy loam, 3 to 15 percent slopes, very bouldery",4.5,"1,683.90",2.50%,84,4.3
723D,"Becket fine sandy loam, 15 to 35 percent slopes, very bouldery",4.5,464.8,0.70%,84,4.3
725B,"Skerry-Becket complex, 3 to 15 percent slopes, very bouldery",4.7,"2,284.20",3.40%,86,4.7
727B,"Skerry-Adirondack complex, 0 to 8 percent slopes, very bouldery",5,"4,055.30",6.00%,74,5.7
831C,"Tunbridge-Lyman complex, 3 to 15 percent slopes, very rocky",4.7,"1,254.10",1.90%,64,11.9
831D,"Tunbridge-Lyman complex, 15 to 35 percent slopes, very rocky",4.7,"3,442.40",5.10%,64,11.9
831F,"Tunbridge-Lyman complex, 35 to 60 percent slopes, very rocky",4.7,"1,704.60",2.50%,64,11.9
833C,"Tunbridge-Adirondack-Lyman complex, rolling, very bouldery",4.7,"2,533.20",3.80%,64,11.9
835C,"Tunbridge-Borosaprists-Ricker complex, rolling, very rocky",4.7,422.7,0.60%,64,11.9
861D,"Lyman-Ricker complex, 15 to 35 percent slopes, very rocky",5,70.4,0.10%,36,8.3
861F,"Lyman-Ricker complex, 35 to 60 percent slopes, very rocky",5,594.8,0.90%,36,8.3
931C,"Mundalite-Rawsonville-Worden complex, 3 to 15 percent slopes, very bouldery",4.8,"1,117.50",1.70%,69,6.3
931D,"Mundalite-Rawsonville complex, 15 to 35 percent slopes, very bouldery",4.8,"2,501.50",3.70%,69,6.3
931F,"Mundalite-Rawsonville complex, 35 to 60 percent slopes, very bouldery",4.8,875.7,1.30%,69,6.3
933C,"Mundalite-Worden complex, 3 to 15 percent slopes, very bouldery",4.8,507.9,0.80%,69,6.3
933D,"Mundalite-Worden complex, 15 to 35 percent slopes, very bouldery",4.8,480.3,0.70%,69,6.3
935C,"Worden-Wilmington complex, 0 to 15 percent slopes, very bouldery",4.7,"1,476.00",2.20%,76,7.6
937B,"Wilmington-Tughill complex, 0 to 8 percent slopes, very bouldery",4.9,158.8,0.20%,43,7.7
941C,"Rawsonville-Hogback complex, 3 to 15 percent slopes, very rocky",4.4,937.3,1.40%,69,11.2
941D,"Rawsonville-Hogback complex, 15 to 35 percent slopes, very rocky",4.4,"3,081.80",4.60%,69,11.2
941F,"Rawsonville-Hogback complex, 35 to 60 percent slopes, very rocky",4.4,"1,532.60",2.30%,69,11.2
942C,"Rawsonville-Wilmington-Hogback complex, 0 to 25 percent slopes, very rocky",4.4,"1,280.50",1.90%,69,11.2
945C,"Hogback-Ricker complex, 3 to 15 percent slopes, very rocky",5.2,260,0.40%,48,5.2
945D,"Hogback-Ricker complex, 15 to 35 percent slopes, very rocky",5.2,852.8,1.30%,48,5.2
945F,"Hogback-Ricker complex, 35 to 60 percent slopes, very rocky",5.2,"1,950.50",2.90%,48,5.2
949F,"Rock outcrop-Ricker-Hogback complex, 35 to 60 percent slopes, very bouldery",,111.4,0.20%,0,0
997C,"Ricker-Skylight-Rock outcrop complex, 3 to 15 percent slopes, very bouldery",4,58,0.10%,23,30
997D,"Ricker-Skylight-Rock outcrop complex, 15 to 35 percent slopes, very bouldery",4,941.9,1.40%,23,30
997F,"Ricker-Skylight-Rock outcrop complex, 35 to 70 percent slopes, very bouldery",4,"1,381.80",2.10%,23,30
W,Water,,"6,451.90",9.60%,200,100
