Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,109,28.625620075868106,0,0,0
344,B,1,5,1.210002688894864,0,0,0
344,C,1,595,145.35830618892507,0,0,0
344,D,1,16,5.734767025089606,0,0,0
344,E,1,8102,2058.086367485182,0,0,0
345,A,1,106,27.83775897286256,0,0,0
345,B,1,5,1.210002688894864,0,0,0
345,C,1,586,143.15960912052117,0,0,0
345,D,1,15,5.376344086021505,0,0,0
345,E,1,7958,2021.5071972904318,0,0,0
346,A,1,103,27.049897869857016,0,0,0
346,B,1,6,1.452003226673837,0,0,0
346,C,1,563,137.54071661237785,0,0,0
346,D,1,14,5.017921146953405,0,0,0
346,E,1,7637,1939.9661303979678,0,0,0
347,A,1,102,26.787277502188502,0,0,0
347,B,1,7,1.6940037644528099,0,0,0
347,C,1,551,134.60912052117263,0,0,0
347,D,1,14,5.017921146953405,0,0,0
347,E,1,7755,1969.9407281964438,0,0,0
348,A,1,105,27.575138605194045,0,0,0
348,B,1,6,1.452003226673837,0,0,0
348,C,1,576,140.71661237785014,0,0,0
348,D,1,13,4.659498207885305,0,0,0
348,E,1,7710,1958.5097375105843,0,0,0
349,A,1,167,43.85760140064196,0,0,0
349,B,1,4,0.9680021511158913,0,0,0
349,C,1,902,220.35830618892507,0,0,0
349,D,1,18,6.451612903225806,0,0,0
349,E,1,10958,2783.573243014395,0,0,0
350,A,1,191,50.16049022468631,0,0,0
350,B,1,9,2.1780048400107557,0,0,0
350,C,1,968,236.48208469055373,0,0,0
350,D,1,20,7.168458781362007,0,0,0
350,E,1,11778,2991.871295512278,0,0,0
351,A,1,133,34.92850889991246,0,0,0
351,B,1,3,0.7260016133369185,0,0,0
351,C,1,663,161.97068403908793,0,0,0
351,D,1,12,4.301075268817204,0,0,0
351,E,1,7770,1973.7510584250635,0,0,0
352,A,1,125,32.82754595856434,0,0,0
352,B,1,3,0.7260016133369185,0,0,0
352,C,1,627,153.1758957654723,0,0,0
352,D,1,11,3.942652329749104,0,0,0
352,E,1,7427,1886.6215071972904,0,0,0
353,A,1,116,30.463962649547707,0,0,0
353,B,1,3,0.7260016133369185,0,0,0
353,C,1,599,146.33550488599346,0,0,0
353,D,1,10,3.5842293906810037,0,0,0
353,E,1,7008,1780.186282811177,0,0,0
354,A,1,128,33.61540706156988,0,0,0
354,B,1,3,0.7260016133369185,0,0,0
354,C,1,599,146.33550488599346,0,0,0
354,D,1,10,3.5842293906810037,0,0,0
354,E,1,6999,1777.900084674005,0,0,0
355,A,1,162,42.544499562299386,0,0,0
355,B,1,4,0.9680021511158913,0,0,0
355,C,1,746,182.2475570032573,0,0,0
355,D,1,13,4.659498207885305,0,0,0
355,E,1,8772,2228.281117696867,0,0,0
END SIM
