Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
284,A,1,55,14.44412022176831,0,0,0
284,B,1,1,0.24200053777897282,0,0,0
284,C,1,532,129.9674267100977,0,0,0
284,D,1,0,0,0,0,0
284,E,1,14129,3589.0770533446234,0,0,0
285,A,1,53,13.91887948643128,0,0,0
285,B,1,1,0.24200053777897282,0,0,0
285,C,1,522,127.5244299674267,0,0,0
285,D,1,0,0,0,0,0
285,E,1,13886,3527.349703640982,0,0,0
286,A,1,51,13.393638751094251,0,0,0
286,B,1,3,0.7260016133369185,0,0,0
286,C,1,517,126.3029315960912,0,0,0
286,D,1,0,0,0,0,0
286,E,1,13531,3437.1718882303135,0,0,0
287,A,1,42,11.030055442077618,0,0,0
287,B,1,4,0.9680021511158913,0,0,0
287,C,1,440,107.49185667752442,0,0,0
287,D,1,0,0,0,0,0
287,E,1,11466,2912.6164267569857,0,0,0
288,A,1,49,12.868398015757222,0,0,0
288,B,1,6,1.452003226673837,0,0,0
288,C,1,577,140.96091205211724,0,0,0
288,D,1,0,0,0,0,0
288,E,1,14803,3760.2878916172735,0,0,0
289,A,1,78,20.48438867814415,0,0,0
289,B,1,13,3.146006991126647,0,0,0
289,C,1,915,223.53420195439736,0,0,0
289,D,1,0,0,0,0,0
289,E,1,21998,5587.976291278577,0,0,0
290,A,1,94,24.686314560840383,0,0,0
290,B,1,16,3.872008604463565,0,0,0
290,C,1,1087,265.55374592833874,0,0,0
290,D,1,0,0,0,0,0
290,E,1,25500,6477.561388653684,0,0,0
291,A,1,81,21.272249781149693,0,0,0
291,B,1,18,4.356009680021511,0,0,0
291,C,1,1100,268.72964169381106,0,0,0
291,D,1,0,0,0,0,0
291,E,1,25436,6461.303979678239,0,0,0
292,A,1,103,27.049897869857016,0,0,0
292,B,1,17,4.114009142242538,0,0,0
292,C,1,1327,324.18566775244295,0,0,0
292,D,1,0,0,0,0,0
292,E,1,30708,7800.508044030483,0,0,0
293,A,1,87,22.847971987160783,0,0,0
293,B,1,17,4.114009142242538,0,0,0
293,C,1,1147,280.2117263843648,0,0,0
293,D,1,0,0,0,0,0
293,E,1,26520,6736.663844199831,0,0,0
294,A,1,72,18.90866647213306,0,0,0
294,B,1,15,3.6300080666845926,0,0,0
294,C,1,980,239.41368078175893,0,0,0
294,D,1,0,0,0,0,0
294,E,1,22779,5786.36748518205,0,0,0
295,A,1,65,17.070323898453456,0,0,0
295,B,1,16,3.872008604463565,0,0,0
295,C,1,880,214.98371335504885,0,0,0
295,D,1,0,0,0,0,0
295,E,1,20224,5137.341236240474,0,0,0
END SIM
284,A,1,89,23.37321272249781,0,0,0
284,B,1,13,3.146006991126647,0,0,0
284,C,1,2314,565.3094462540716,0,0,0
284,D,1,8,2.867383512544803,0,0,0
284,E,1,41202,10466.215071972905,0,0,0
285,A,1,86,22.585351619492265,0,0,0
285,B,1,13,3.146006991126647,0,0,0
285,C,1,2272,555.0488599348533,0,0,0
285,D,1,8,2.867383512544803,0,0,0
285,E,1,40471,10280.5249788315,0,0,0
286,A,1,87,22.847971987160783,0,0,0
286,B,1,13,3.146006991126647,0,0,0
286,C,1,2221,542.5895765472312,0,0,0
286,D,1,8,2.867383512544803,0,0,0
286,E,1,39446,10020.152413209145,0,0,0
287,A,1,74,19.43390720747009,0,0,0
287,B,1,12,2.904006453347674,0,0,0
287,C,1,1918,468.5667752442996,0,0,0
287,D,1,8,2.867383512544803,0,0,0
287,E,1,33839,8595.85097375106,0,0,0
288,A,1,97,25.47417566384593,0,0,0
