Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
284,A,1,8,2.1009629413481177,0,0,0
284,B,1,0,0,0,0,0
284,C,1,434,106.02605863192181,0,0,0
284,D,1,0,0,0,0,0
284,E,1,9304,2363.42082980525,0,0,0
285,A,1,8,2.1009629413481177,0,0,0
285,B,1,0,0,0,0,0
285,C,1,418,102.1172638436482,0,0,0
285,D,1,0,0,0,0,0
285,E,1,9150,2324.3014394580864,0,0,0
286,A,1,8,2.1009629413481177,0,0,0
286,B,1,0,0,0,0,0
286,C,1,404,98.69706840390879,0,0,0
286,D,1,0,0,0,0,0
286,E,1,8938,2270.4487722269264,0,0,0
287,A,1,6,1.5757222060110883,0,0,0
287,B,1,0,0,0,0,0
287,C,1,347,84.77198697068403,0,0,0
287,D,1,0,0,0,0,0
287,E,1,7739,1965.8763759525825,0,0,0
288,A,1,9,2.3635833090166325,0,0,0
288,B,1,0,0,0,0,0
288,C,1,462,112.86644951140065,0,0,0
288,D,1,0,0,0,0,0
288,E,1,9869,2506.9432684165963,0,0,0
289,A,1,17,4.464546250364751,0,0,0
289,B,1,0,0,0,0,0
289,C,1,713,174.18566775244298,0,0,0
289,D,1,0,0,0,0,0
289,E,1,14870,3777.307366638442,0,0,0
290,A,1,19,4.989786985701779,0,0,0
290,B,1,2,0.48400107555794564,0,0,0
290,C,1,907,221.57980456026056,0,0,0
290,D,1,0,0,0,0,0
290,E,1,17170,4361.55800169348,0,0,0
291,A,1,14,3.676685147359206,0,0,0
291,B,1,5,1.210002688894864,0,0,0
291,C,1,924,225.7328990228013,0,0,0
291,D,1,0,0,0,0,0
291,E,1,17012,4321.422523285351,0,0,0
292,A,1,17,4.464546250364751,0,0,0
292,B,1,7,1.6940037644528099,0,0,0
292,C,1,1156,282.4104234527687,0,0,0
292,D,1,0,0,0,0,0
292,E,1,20636,5241.9983065198985,0,0,0
293,A,1,15,3.939305515027721,0,0,0
293,B,1,5,1.210002688894864,0,0,0
293,C,1,1029,251.38436482084688,0,0,0
293,D,1,0,0,0,0,0
293,E,1,17877,4541.151566469094,0,0,0
294,A,1,16,4.201925882696235,0,0,0
294,B,1,4,0.9680021511158913,0,0,0
294,C,1,887,216.69381107491856,0,0,0
294,D,1,0,0,0,0,0
294,E,1,15446,3923.624047417443,0,0,0
295,A,1,13,3.4140647796906913,0,0,0
295,B,1,4,0.9680021511158913,0,0,0
295,C,1,781,190.79804560260584,0,0,0
295,D,1,0,0,0,0,0
295,E,1,13806,3507.0279424216765,0,0,0
END SIM
284,A,1,245,64.34199007878611,0,0,0
284,B,1,9,2.1780048400107557,0,0,0
284,C,1,64,15.63517915309446,0,0,0
284,D,1,0,0,0,0,0
284,E,1,21384,5432.006773920407,0,0,0
285,A,1,239,62.76626787277502,0,0,0
285,B,1,9,2.1780048400107557,0,0,0
285,C,1,64,15.63517915309446,0,0,0
285,D,1,0,0,0,0,0
285,E,1,20997,5333.7002540220155,0,0,0
286,A,1,233,61.19054566676393,0,0,0
286,B,1,8,1.9360043022317825,0,0,0
286,C,1,64,15.63517915309446,0,0,0
286,D,1,0,0,0,0,0
286,E,1,20487,5204.1490262489415,0,0,0
287,A,1,216,56.72599941639918,0,0,0
287,B,1,4,0.9680021511158913,0,0,0
287,C,1,55,13.436482084690553,0,0,0
287,D,1,0,0,0,0,0
287,E,1,17430,4427.603725656224,0,0,0
288,A,1,285,74.8468047855267,0,0,0
288,B,1,8,1.9360043022317825,0,0,0
288,C,1,76,18.566775244299674,0,0,0
288,D,1,0,0,0,0,0
288,E,1,22509,5717.781541066893,0,0,0
289,A,1,467,122.64371170119638,0,0,0
289,B,1,14,3.3880075289056197,0,0,0
289,C,1,133,32.491856677524424,0,0,0
289,D,1,0,0,0,0,0
289,E,1,33645,8546.570702794243,0,0,0
290,A,1,555,145.75430405602566,0,0,0
290,B,1,15,3.6300080666845926,0,0,0
290,C,1,156,38.11074918566775,0,0,0
290,D,1,0,0,0,0,0
290,E,1,38963,9897.459779847588,0,0,0
291,A,1,542,142.34023927633498,0,0,0
291,B,1,14,3.3880075289056197,0,0,0
291,C,1,161,39.33224755700326,0,0,0
291,D,1,0,0,0,0,0
291,E,1,38599,9804.995766299746,0,0,0
292,A,1,644,169.12751677852347,0,0,0
292,B,1,16,3.872008604463565,0,0,0
292,C,1,187,45.68403908794788,0,0,0
292,D,1,1,0.35842293906810035,0,0,0
292,E,1,46547,11823.962743437765,0,0,0
293,A,1,577,151.531952144733,0,0,0
293,B,1,13,3.146006991126647,0,0,0
293,C,1,169,41.28664495114006,0,0,0
293,D,1,0,0,0,0,0
293,E,1,40151,10199.237933954277,0,0,0
294,A,1,504,132.36066530493142,0,0,0
294,B,1,17,4.114009142242538,0,0,0
294,C,1,150,36.644951140065146,0,0,0
294,D,1,0,0,0,0,0
294,E,1,34384,8734.29297205758,0,0,0
295,A,1,437,114.76510067114093,0,0,0
295,B,1,14,3.3880075289056197,0,0,0
295,C,1,130,31.758957654723122,0,0,0
295,D,1,0,0,0,0,0
295,E,1,30651,7786.028789161727,0,0,0
END SIM
284,A,1,178,46.74642544499562,0,0,0
284,B,1,3,0.7260016133369185,0,0,0
284,C,1,1997,487.8664495114006,0,0,0
284,D,1,1,0.35842293906810035,0,0,0
284,E,1,56198,14275.529212531754,0,0,0
285,A,1,175,45.958564341990076,0,0,0
285,B,1,3,0.7260016133369185,0,0,0
285,C,1,1955,477.60586319218237,0,0,0
285,D,1,1,0.35842293906810035,0,0,0
285,E,1,55261,14037.510584250636,0,0,0
286,A,1,173,45.43332360665305,0,0,0
286,B,1,3,0.7260016133369185,0,0,0
286,C,1,1905,465.39087947882734,0,0,0
286,D,1,1,0.35842293906810035,0,0,0
286,E,1,53890,13689.246401354785,0,0,0
287,A,1,158,41.49401809162533,0,0,0
287,B,1,2,0.48400107555794564,0,0,0
287,C,1,1668,407.49185667752437,0,0,0
287,D,1,1,0.35842293906810035,0,0,0
287,E,1,45950,11672.311600338697,0,0,0
288,A,1,227,59.614823460752845,0,0,0
288,B,1,3,0.7260016133369185,0,0,0
288,C,1,2201,537.7035830618892,0,0,0
288,D,1,2,0.7168458781362007,0,0,0
288,E,1,59478,15108.721422523286,0,0,0
289,A,1,311,81.67493434490808,0,0,0
289,B,1,4,0.9680021511158913,0,0,0
289,C,1,3360,820.8469055374592,0,0,0
289,D,1,3,1.075268817204301,0,0,0
289,E,1,89288,22681.117696867062,0,0,0
290,A,1,379,99.53311934636709,0,0,0
290,B,1,5,1.210002688894864,0,0,0
290,C,1,4076,995.7654723127035,0,0,0
290,D,1,3,1.075268817204301,0,0,0
290,E,1,103611,26319.475021168502,0,0,0
291,A,1,370,97.16953603735045,0,0,0
291,B,1,6,1.452003226673837,0,0,0
291,C,1,4212,1028.9902280130293,0,0,0
291,D,1,2,0.7168458781362007,0,0,0
291,E,1,102134,25944.284504657073,0,0,0
292,A,1,483,126.84563758389261,0,0,0
292,B,1,10,2.420005377789728,0,0,0
292,C,1,5101,1246.172638436482,0,0,0
292,D,1,4,1.4336917562724014,0,0,0
292,E,1,123996,31497.71380186283,0,0,0
293,A,1,431,113.18937846512985,0,0,0
293,B,1,9,2.1780048400107557,0,0,0
293,C,1,4427,1081.514657980456,0,0,0
293,D,1,3,1.075268817204301,0,0,0
293,E,1,107135,27214.64860287892,0,0,0
294,A,1,370,97.16953603735045,0,0,0
294,B,1,6,1.452003226673837,0,0,0
294,C,1,3834,936.644951140065,0,0,0
294,D,1,3,1.075268817204301,0,0,0
294,E,1,92210,23423.3700254022,0,0,0
295,A,1,338,88.76568427195798,0,0,0
295,B,1,4,0.9680021511158913,0,0,0
295,C,1,3424,836.4820846905536,0,0,0
295,D,1,2,0.7168458781362007,0,0,0
295,E,1,81961,20819.898391193903,0,0,0
END SIM
284,A,1,725,190.39976655967317,0,0,0
284,B,1,49,11.858026351169668,0,0,0
284,C,1,2174,531.1074918566775,0,0,0
284,D,1,0,0,0,0,0
284,E,1,88841,22567.569856054193,0,0,0
285,A,1,706,185.40997957397138,0,0,0
285,B,1,48,11.616025813390696,0,0,0
285,C,1,2120,517.915309446254,0,0,0
285,D,1,0,0,0,0,0
285,E,1,87235,22159.61049957663,0,0,0
286,A,1,691,181.47067405894367,0,0,0
286,B,1,49,11.858026351169668,0,0,0
286,C,1,2057,502.52442996742667,0,0,0
286,D,1,0,0,0,0,0
286,E,1,85239,21652.582557154954,0,0,0
287,A,1,620,162.82462795447913,0,0,0
287,B,1,47,11.374025275611723,0,0,0
287,C,1,1754,428.50162866449506,0,0,0
287,D,1,0,0,0,0,0
287,E,1,72856,18507.02794242168,0,0,0
288,A,1,816,214.29822001750802,0,0,0
288,B,1,60,14.52003226673837,0,0,0
288,C,1,2329,568.9739413680782,0,0,0
288,D,1,0,0,0,0,0
288,E,1,94240,23939.034716342085,0,0,0
289,A,1,1264,331.9521447330026,0,0,0
289,B,1,113,27.34606076902393,0,0,0
289,C,1,3632,887.2964169381106,0,0,0
289,D,1,0,0,0,0,0
289,E,1,141023,35822.9466553768,0,0,0
290,A,1,1495,392.6174496644295,0,0,0
290,B,1,130,31.46006991126647,0,0,0
290,C,1,4362,1065.6351791530944,0,0,0
290,D,1,0,0,0,0,0
290,E,1,164104,41686.028789161726,0,0,0
291,A,1,1492,391.829588561424,0,0,0
291,B,1,142,34.36407636461414,0,0,0
291,C,1,4584,1119.8697068403908,0,0,0
291,D,1,0,0,0,0,0
291,E,1,161810,41103.30228619814,0,0,0
292,A,1,1843,484.00933761307266,0,0,0
292,B,1,168,40.65609034686744,0,0,0
292,C,1,5515,1347.3127035830619,0,0,0
292,D,1,0,0,0,0,0
292,E,1,196332,49872.65029635902,0,0,0
293,A,1,1590,417.5663845929384,0,0,0
293,B,1,139,33.63807475127722,0,0,0
293,C,1,4789,1169.9511400651465,0,0,0
293,D,1,1,0.35842293906810035,0,0,0
293,E,1,169138,42964.77561388654,0,0,0
294,A,1,1384,363.4665888532244,0,0,0
294,B,1,122,29.524065609034686,0,0,0
294,C,1,4214,1029.4788273615634,0,0,0
294,D,1,2,0.7168458781362007,0,0,0
294,E,1,145220,36889.07705334463,0,0,0
295,A,1,1233,323.81091333527866,0,0,0
295,B,1,104,25.168055929013175,0,0,0
295,C,1,3743,914.4136807817589,0,0,0
295,D,1,2,0.7168458781362007,0,0,0
295,E,1,129210,32822.184589331075,0,0,0
END SIM
284,A,1,485,127.37087831922965,0,0,0
284,B,1,20,4.840010755579456,0,0,0
284,C,1,67,16.368078175895764,0,0,0
284,D,1,0,0,0,0,0
284,E,1,26310,6683.319220999154,0,0,0
285,A,1,478,125.53253574555004,0,0,0
285,B,1,20,4.840010755579456,0,0,0
285,C,1,66,16.123778501628664,0,0,0
285,D,1,0,0,0,0,0
285,E,1,25825,6560.118543607113,0,0,0
286,A,1,465,122.11847096585934,0,0,0
286,B,1,20,4.840010755579456,0,0,0
286,C,1,64,15.63517915309446,0,0,0
286,D,1,0,0,0,0,0
286,E,1,25154,6389.669771380187,0,0,0
287,A,1,397,104.26028596440035,0,0,0
287,B,1,18,4.356009680021511,0,0,0
287,C,1,52,12.70358306188925,0,0,0
287,D,1,0,0,0,0,0
287,E,1,21543,5472.396274343777,0,0,0
288,A,1,514,134.98686898161657,0,0,0
288,B,1,24,5.808012906695348,0,0,0
