Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
224,A,5,0,0,0,0,0
224,B,5,0,0,0,0,0
224,C,5,0,0,0,0,0
224,D,5,0,0,0,0,0
224,E,5,10169,2583.1498729889927,0,0,0
225,A,5,0,0,0,0,0
225,B,5,0,0,0,0,0
225,C,5,0,0,0,0,0
225,D,5,0,0,0,0,0
225,E,5,10001,2540.4741744284506,0,0,0
226,A,5,0,0,0,0,0
226,B,5,0,0,0,0,0
226,C,5,0,0,0,0,0
226,D,5,0,0,0,0,0
226,E,5,9286,2358.8484335309063,0,0,0
227,A,5,0,0,0,0,0
227,B,5,0,0,0,0,0
227,C,5,0,0,0,0,0
227,D,5,0,0,0,0,0
227,E,5,8340,2118.5436071126164,0,0,0
228,A,5,0,0,0,0,0
228,B,5,0,0,0,0,0
228,C,5,0,0,0,0,0
228,D,5,0,0,0,0,0
228,E,5,10230,2598.645215918713,0,0,0
229,A,5,0,0,0,0,0
229,B,5,0,0,0,0,0
229,C,5,0,0,0,0,0
229,D,5,0,0,0,0,0
229,E,5,13202,3353.5986452159186,0,0,0
230,A,5,0,0,0,0,0
230,B,5,0,0,0,0,0
230,C,5,0,0,0,0,0
230,D,5,0,0,0,0,0
230,E,5,16562,4207.112616426757,0,0,0
231,A,5,0,0,0,0,0
231,B,5,0,0,0,0,0
231,C,5,0,0,0,0,0
231,D,5,0,0,0,0,0
231,E,5,22247,5651.227773073667,0,0,0
232,A,5,0,0,0,0,0
232,B,5,0,0,0,0,0
232,C,5,0,0,0,0,0
232,D,5,0,0,0,0,0
232,E,5,28013,7115.918712955123,0,0,0
233,A,5,0,0,0,0,0
233,B,5,0,0,0,0,0
233,C,5,0,0,0,0,0
233,D,5,0,0,0,0,0
233,E,5,28375,7207.874682472481,0,0,0
234,A,5,0,0,0,0,0
234,B,5,0,0,0,0,0
234,C,5,0,0,0,0,0
234,D,5,0,0,0,0,0
234,E,5,25904,6580.186282811177,0,0,0
235,A,5,0,0,0,0,0
235,B,5,0,0,0,0,0
235,C,5,0,0,0,0,0
235,D,5,0,0,0,0,0
235,E,5,23576,5988.8230313293825,0,0,0
END SIM
