Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
1,0,1,0,0,0,0,5
1,1,1,0,0,0,0,5
1,2,1,17,4.153094462540716,0,0,5
1,3,1,0,0,0,0,5
1,4,1,190,48.26418289585097,0,0,5
2,0,1,0,0,0,0,5
2,1,1,0,0,0,0,5
2,2,1,17,4.153094462540716,0,0,5
2,3,1,0,0,0,0,5
2,4,1,190,48.26418289585097,0,0,5
3,0,1,0,0,0,0,5
3,1,1,0,0,0,0,5
3,2,1,19,4.641693811074918,0,0,5
3,3,1,0,0,0,0,5
3,4,1,184,46.74005080440305,0,0,5
4,0,1,0,0,0,0,5
4,1,1,0,0,0,0,5
4,2,1,14,3.4201954397394134,0,0,5
4,3,1,0,0,0,0,5
4,4,1,165,41.913632514817955,0,0,5
5,0,1,1,0.2626203676685147,0,0,5
5,1,1,0,0,0,0,5
5,2,1,24,5.8631921824104225,0,0,5
5,3,1,0,0,0,0,5
5,4,1,200,50.804403048264184,0,0,5
6,0,1,2,0.5252407353370294,0,0,5
6,1,1,0,0,0,0,5
6,2,1,32,7.81758957654723,0,0,5
6,3,1,0,0,0,0,5
6,4,1,263,66.8077900084674,0,0,5
7,0,1,3,0.7878611030055441,0,0,5
7,1,1,0,0,0,0,5
7,2,1,48,11.726384364820845,0,0,5
7,3,1,0,0,0,0,5
7,4,1,350,88.90770533446232,0,0,5
8,0,1,5,1.3131018383425737,0,0,5
8,1,1,0,0,0,0,5
8,2,1,66,16.123778501628664,0,0,5
8,3,1,0,0,0,0,5
8,4,1,451,114.56392887383574,0,0,5
9,0,1,4,1.0504814706740588,0,0,5
9,1,1,0,0,0,0,5
9,2,1,83,20.276872964169378,0,0,5
9,3,1,0,0,0,0,5
9,4,1,548,139.20406435224388,0,0,5
10,0,1,6,1.5757222060110883,0,0,5
10,1,1,0,0,0,0,5
10,2,1,82,20.032573289902277,0,0,5
10,3,1,0,0,0,0,5
10,4,1,537,136.40982218458933,0,0,5
11,0,1,8,2.1009629413481177,0,0,5
11,1,1,0,0,0,0,5
11,2,1,76,18.566775244299674,0,0,5
11,3,1,0,0,0,0,5
11,4,1,486,123.45469940728196,0,0,5
