Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
1,0,1,6,1.5757222060110883,0,0,5
1,1,1,0,0,0,0,5
1,2,1,8,1.9543973941368076,0,0,5
1,3,1,0,0,0,0,5
1,4,1,206,52.32853513971211,0,0,5
2,0,1,6,1.5757222060110883,0,0,5
2,1,1,0,0,0,0,5
2,2,1,8,1.9543973941368076,0,0,5
2,3,1,0,0,0,0,5
2,4,1,206,52.32853513971211,0,0,5
3,0,1,7,1.838342573679603,0,0,5
3,1,1,0,0,0,0,5
3,2,1,9,2.1986970684039084,0,0,5
3,3,1,0,0,0,0,5
3,4,1,196,49.788314987298904,0,0,5
4,0,1,8,2.1009629413481177,0,0,5
4,1,1,0,0,0,0,5
4,2,1,9,2.1986970684039084,0,0,5
4,3,1,0,0,0,0,5
4,4,1,178,45.21591871295512,0,0,5
5,0,1,9,2.3635833090166325,0,0,5
5,1,1,0,0,0,0,5
5,2,1,11,2.6872964169381106,0,0,5
5,3,1,0,0,0,0,5
5,4,1,211,53.598645215918715,0,0,5
6,0,1,10,2.6262036766851473,0,0,5
6,1,1,0,0,0,0,5
6,2,1,9,2.1986970684039084,0,0,5
6,3,1,0,0,0,0,5
6,4,1,235,59.695173581710414,0,0,5
7,0,1,13,3.4140647796906913,0,0,5
7,1,1,0,0,0,0,5
7,2,1,10,2.4429967426710095,0,0,5
7,3,1,0,0,0,0,5
7,4,1,236,59.94919559695174,0,0,5
8,0,1,18,4.727166618033265,0,0,5
8,1,1,0,0,0,0,5
8,2,1,14,3.4201954397394134,0,0,5
8,3,1,0,0,0,0,5
8,4,1,327,83.06519898391194,0,0,5
9,0,1,27,7.090749927049898,0,0,5
9,1,1,0,0,0,0,5
9,2,1,13,3.1758957654723123,0,0,5
9,3,1,0,0,0,0,5
9,4,1,385,97.79847586790855,0,0,5
10,0,1,30,7.878611030055442,0,0,5
10,1,1,0,0,0,0,5
10,2,1,15,3.6644951140065145,0,0,5
10,3,1,0,0,0,0,5
10,4,1,381,96.78238780694328,0,0,5
11,0,1,27,7.090749927049898,0,0,5
11,1,1,0,0,0,0,5
11,2,1,13,3.1758957654723123,0,0,5
11,3,1,0,0,0,0,5
11,4,1,368,93.4801016088061,0,0,5
