Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
104,A,1,0,0,0,0,0
104,B,1,0,0,0,0,0
104,C,1,0,0,0,0,0
104,D,1,0,0,0,0,0
104,E,1,911,231.41405588484335,0,0,0
105,A,1,0,0,0,0,0
105,B,1,0,0,0,0,0
105,C,1,0,0,0,0,0
105,D,1,0,0,0,0,0
105,E,1,870,220.9991532599492,0,0,0
106,A,1,0,0,0,0,0
106,B,1,0,0,0,0,0
106,C,1,0,0,0,0,0
106,D,1,0,0,0,0,0
106,E,1,802,203.72565622353937,0,0,0
107,A,1,0,0,0,0,0
107,B,1,0,0,0,0,0
107,C,1,0,0,0,0,0
107,D,1,0,0,0,0,0
107,E,1,782,198.64521591871295,0,0,0
108,A,1,0,0,0,0,0
108,B,1,0,0,0,0,0
108,C,1,0,0,0,0,0
108,D,1,0,0,0,0,0
108,E,1,871,221.25317527519053,0,0,0
109,A,1,0,0,0,0,0
109,B,1,0,0,0,0,0
109,C,1,0,0,0,0,0
109,D,1,0,0,0,0,0
109,E,1,1103,280.18628281117697,0,0,0
110,A,1,0,0,0,0,0
110,B,1,0,0,0,0,0
110,C,1,0,0,0,0,0
110,D,1,0,0,0,0,0
110,E,1,1344,341.40558848433534,0,0,0
111,A,1,0,0,0,0,0
111,B,1,0,0,0,0,0
111,C,1,0,0,0,0,0
111,D,1,0,0,0,0,0
111,E,1,1649,418.8823031329382,0,0,0
112,A,1,0,0,0,0,0
112,B,1,0,0,0,0,0
112,C,1,0,0,0,0,0
112,D,1,0,0,0,0,0
112,E,1,1830,464.8602878916173,0,0,0
113,A,1,0,0,0,0,0
113,B,1,0,0,0,0,0
113,C,1,0,0,0,0,0
113,D,1,0,0,0,0,0
113,E,1,1857,471.71888230313294,0,0,0
114,A,1,0,0,0,0,0
114,B,1,0,0,0,0,0
114,C,1,0,0,0,0,0
114,D,1,0,0,0,0,0
114,E,1,1600,406.4352243861135,0,0,0
115,A,1,0,0,0,0,0
115,B,1,0,0,0,0,0
115,C,1,0,0,0,0,0
115,D,1,0,0,0,0,0
115,E,1,1440,365.79170194750213,0,0,0
END SIM
104,A,1,0,0,0,0,0
104,B,1,0,0,0,0,0
104,C,1,0,0,0,0,0
104,D,1,0,0,0,0,0
104,E,1,791,200.93141405588486,0,0,0
105,A,1,0,0,0,0,0
105,B,1,0,0,0,0,0
105,C,1,0,0,0,0,0
105,D,1,0,0,0,0,0
105,E,1,754,191.53259949195598,0,0,0
106,A,1,0,0,0,0,0
106,B,1,0,0,0,0,0
106,C,1,0,0,0,0,0
106,D,1,0,0,0,0,0
106,E,1,673,170.95681625740897,0,0,0
107,A,1,0,0,0,0,0
