Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
104,A,1,0,0,0,0,5
104,B,1,0,0,0,0,5
104,C,1,6,1.4657980456026056,0,0,5
104,D,1,0,0,0,0,5
104,E,1,138,35.05503810330229,0,0,5
105,A,1,0,0,0,0,5
105,B,1,0,0,0,0,5
105,C,1,6,1.4657980456026056,0,0,5
105,D,1,0,0,0,0,5
105,E,1,134,34.03895004233701,0,0,5
106,A,1,0,0,0,0,5
106,B,1,0,0,0,0,5
106,C,1,6,1.4657980456026056,0,0,5
106,D,1,0,0,0,0,5
106,E,1,122,30.990685859441154,0,0,5
107,A,1,0,0,0,0,5
107,B,1,0,0,0,0,5
107,C,1,7,1.7100977198697067,0,0,5
107,D,1,0,0,0,0,5
107,E,1,119,30.22861981371719,0,0,5
108,A,1,0,0,0,0,5
108,B,1,0,0,0,0,5
108,C,1,9,2.1986970684039084,0,0,5
108,D,1,0,0,0,0,5
108,E,1,144,36.57917019475021,0,0,5
109,A,1,0,0,0,0,5
109,B,1,0,0,0,0,5
109,C,1,12,2.9315960912052113,0,0,5
109,D,1,0,0,0,0,5
109,E,1,168,42.67569856054192,0,0,5
110,A,1,0,0,0,0,5
110,B,1,0,0,0,0,5
110,C,1,15,3.6644951140065145,0,0,5
110,D,1,0,0,0,0,5
110,E,1,196,49.788314987298904,0,0,5
111,A,1,0,0,0,0,5
111,B,1,0,0,0,0,5
111,C,1,17,4.153094462540716,0,0,5
111,D,1,0,0,0,0,5
111,E,1,217,55.12277730736664,0,0,5
112,A,1,0,0,0,0,5
112,B,1,0,0,0,0,5
112,C,1,23,5.618892508143322,0,0,5
112,D,1,0,0,0,0,5
112,E,1,234,59.441151566469095,0,0,5
113,A,1,0,0,0,0,5
113,B,1,0,0,0,0,5
113,C,1,23,5.618892508143322,0,0,5
113,D,1,0,0,0,0,5
113,E,1,230,58.425063505503815,0,0,5
114,A,1,0,0,0,0,5
114,B,1,0,0,0,0,5
114,C,1,21,5.13029315960912,0,0,5
114,D,1,0,0,0,0,5
114,E,1,196,49.788314987298904,0,0,5
115,A,1,0,0,0,0,5
115,B,1,0,0,0,0,5
115,C,1,20,4.885993485342019,0,0,5
115,D,1,0,0,0,0,5
115,E,1,172,43.6917866215072,0,0,5
224,A,1,19,4.989786985701779,0,0,5
224,B,1,1,0.24200053777897282,0,0,5
224,C,1,358,87.45928338762214,0,0,5
224,D,1,6,2.150537634408602,0,0,5
224,E,1,1010,256.5622353937341,0,0,5
225,A,1,19,4.989786985701779,0,0,5
225,B,1,1,0.24200053777897282,0,0,5
225,C,1,355,86.72638436482085,0,0,5
225,D,1,6,2.150537634408602,0,0,5
225,E,1,989,251.22777307366638,0,0,5
226,A,1,19,4.989786985701779,0,0,5
226,B,1,1,0.24200053777897282,0,0,5
226,C,1,333,81.35179153094462,0,0,5
226,D,1,7,2.5089605734767026,0,0,5
226,E,1,927,235.4784081287045,0,0,5
227,A,1,19,4.989786985701779,0,0,5
227,B,1,2,0.48400107555794564,0,0,5
