Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
1,A,1,0,0,0,0,5
1,B,1,0,0,0,0,5
1,C,1,2,0.4885993485342019,0,0,5
1,D,1,0,0,0,0,5
1,E,1,97,24.64013547840813,0,0,5
2,A,1,0,0,0,0,5
2,B,1,0,0,0,0,5
2,C,1,1,0.24429967426710095,0,0,5
2,D,1,0,0,0,0,5
2,E,1,93,23.624047417442846,0,0,5
3,A,1,0,0,0,0,5
3,B,1,0,0,0,0,5
3,C,1,1,0.24429967426710095,0,0,5
3,D,1,0,0,0,0,5
3,E,1,83,21.083827265029637,0,0,5
4,A,1,0,0,0,0,5
4,B,1,0,0,0,0,5
4,C,1,1,0.24429967426710095,0,0,5
4,D,1,0,0,0,0,5
4,E,1,79,20.067739204064353,0,0,5
5,A,1,0,0,0,0,5
5,B,1,0,0,0,0,5
5,C,1,0,0,0,0,5
5,D,1,0,0,0,0,5
5,E,1,84,21.33784928027096,0,0,5
6,A,1,0,0,0,0,5
6,B,1,0,0,0,0,5
6,C,1,0,0,0,0,5
6,D,1,0,0,0,0,5
6,E,1,109,27.68839966130398,0,0,5
7,A,1,0,0,0,0,5
7,B,1,0,0,0,0,5
7,C,1,0,0,0,0,5
7,D,1,0,0,0,0,5
7,E,1,114,28.958509737510585,0,0,5
8,A,1,0,0,0,0,5
8,B,1,0,0,0,0,5
8,C,1,3,0.7328990228013028,0,0,5
8,D,1,0,0,0,0,5
8,E,1,132,33.53090601185436,0,0,5
9,A,1,0,0,0,0,5
9,B,1,0,0,0,0,5
9,C,1,2,0.4885993485342019,0,0,5
9,D,1,0,0,0,0,5
9,E,1,142,36.07112616426757,0,0,5
10,A,1,0,0,0,0,5
10,B,1,0,0,0,0,5
10,C,1,2,0.4885993485342019,0,0,5
10,D,1,0,0,0,0,5
10,E,1,135,34.292972057578325,0,0,5
11,A,1,0,0,0,0,5
11,B,1,0,0,0,0,5
11,C,1,2,0.4885993485342019,0,0,5
11,D,1,0,0,0,0,5
11,E,1,111,28.196443691786623,0,0,5
