Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
1,A,1,0,0,0,0,5
1,B,1,0,0,0,0,5
1,C,1,0,0,0,0,5
1,D,1,0,0,0,0,5
1,E,1,107,27.18035563082134,0,0,5
2,A,1,0,0,0,0,5
2,B,1,0,0,0,0,5
2,C,1,0,0,0,0,5
2,D,1,0,0,0,0,5
2,E,1,101,25.656223539373414,0,0,5
3,A,1,0,0,0,0,5
3,B,1,0,0,0,0,5
3,C,1,0,0,0,0,5
3,D,1,0,0,0,0,5
3,E,1,93,23.624047417442846,0,0,5
4,A,1,0,0,0,0,5
4,B,1,0,0,0,0,5
4,C,1,0,0,0,0,5
4,D,1,0,0,0,0,5
4,E,1,83,21.083827265029637,0,0,5
5,A,1,0,0,0,0,5
5,B,1,0,0,0,0,5
5,C,1,0,0,0,0,5
5,D,1,0,0,0,0,5
5,E,1,96,24.386113463166808,0,0,5
6,A,1,0,0,0,0,5
6,B,1,0,0,0,0,5
6,C,1,0,0,0,0,5
6,D,1,0,0,0,0,5
6,E,1,124,31.498729889923794,0,0,5
7,A,1,0,0,0,0,5
7,B,1,0,0,0,0,5
7,C,1,0,0,0,0,5
7,D,1,0,0,0,0,5
7,E,1,133,33.78492802709568,0,0,5
8,A,1,0,0,0,0,5
8,B,1,0,0,0,0,5
8,C,1,0,0,0,0,5
8,D,1,0,0,0,0,5
8,E,1,149,37.84928027095682,0,0,5
9,A,1,1,0.2626203676685147,0,0,5
9,B,1,0,0,0,0,5
9,C,1,0,0,0,0,5
9,D,1,0,0,0,0,5
9,E,1,158,40.135478408128705,0,0,5
10,A,1,0,0,0,0,5
10,B,1,0,0,0,0,5
10,C,1,0,0,0,0,5
10,D,1,0,0,0,0,5
10,E,1,158,40.135478408128705,0,0,5
11,A,1,2,0.5252407353370294,0,0,5
11,B,1,0,0,0,0,5
11,C,1,0,0,0,0,5
11,D,1,0,0,0,0,5
11,E,1,127,32.26079593564776,0,0,5
