Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
1,0,1,0,0,0,0,5
1,1,1,0,0,0,0,5
1,2,1,36,8.794788273615634,0,0,5
1,3,1,2,0.7168458781362007,0,0,5
1,4,1,301,76.46062658763759,0,0,5
2,0,1,0,0,0,0,5
2,1,1,0,0,0,0,5
2,2,1,36,8.794788273615634,0,0,5
2,3,1,2,0.7168458781362007,0,0,5
2,4,1,301,76.46062658763759,0,0,5
3,0,1,0,0,0,0,5
3,1,1,0,0,0,0,5
3,2,1,30,7.328990228013029,0,0,5
3,3,1,2,0.7168458781362007,0,0,5
3,4,1,283,71.88823031329382,0,0,5
4,0,1,0,0,0,0,5
4,1,1,0,0,0,0,5
4,2,1,25,6.107491856677524,0,0,5
4,3,1,2,0.7168458781362007,0,0,5
4,4,1,258,65.5376799322608,0,0,5
5,0,1,0,0,0,0,5
5,1,1,0,0,0,0,5
5,2,1,34,8.306188925081432,0,0,5
5,3,1,3,1.075268817204301,0,0,5
5,4,1,322,81.79508890770533,0,0,5
6,0,1,0,0,0,0,5
6,1,1,0,0,0,0,5
6,2,1,47,11.482084690553744,0,0,5
6,3,1,2,0.7168458781362007,0,0,5
6,4,1,397,100.8467400508044,0,0,5
7,0,1,0,0,0,0,5
7,1,1,0,0,0,0,5
7,2,1,66,16.123778501628664,0,0,5
7,3,1,1,0.35842293906810035,0,0,5
7,4,1,493,125.23285351397122,0,0,5
8,0,1,0,0,0,0,5
8,1,1,0,0,0,0,5
8,2,1,84,20.52117263843648,0,0,5
8,3,1,1,0.35842293906810035,0,0,5
8,4,1,675,171.4648602878916,0,0,5
9,0,1,0,0,0,0,5
9,1,1,0,0,0,0,5
9,2,1,104,25.4071661237785,0,0,5
9,3,1,3,1.075268817204301,0,0,5
9,4,1,803,203.9796782387807,0,0,5
10,0,1,0,0,0,0,5
10,1,1,0,0,0,0,5
10,2,1,114,27.85016286644951,0,0,5
10,3,1,3,1.075268817204301,0,0,5
10,4,1,814,206.77392040643522,0,0,5
11,0,1,0,0,0,0,5
11,1,1,0,0,0,0,5
11,2,1,107,26.1400651465798,0,0,5
11,3,1,3,1.075268817204301,0,0,5
11,4,1,725,184.16596104995767,0,0,5
