Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
1,0,1,0,0,0,0,-0.5
1,1,1,0,0,0,0,-0.5
1,2,1,0,0,0,0,-0.5
1,3,1,0,0,0,0,-0.5
1,4,1,10,2.5402201524132093,0,0,-0.5
2,0,1,0,0,0,0,-0.5
2,1,1,0,0,0,0,-0.5
2,2,1,0,0,0,0,-0.5
2,3,1,0,0,0,0,-0.5
2,4,1,10,2.5402201524132093,0,0,-0.5
3,0,1,0,0,0,0,-0.5
3,1,1,0,0,0,0,-0.5
3,2,1,0,0,0,0,-0.5
3,3,1,0,0,0,0,-0.5
3,4,1,10,2.5402201524132093,0,0,-0.5
4,0,1,0,0,0,0,-0.5
4,1,1,0,0,0,0,-0.5
4,2,1,0,0,0,0,-0.5
4,3,1,0,0,0,0,-0.5
4,4,1,9,2.2861981371718882,0,0,-0.5
5,0,1,0,0,0,0,-0.5
5,1,1,0,0,0,0,-0.5
5,2,1,0,0,0,0,-0.5
5,3,1,0,0,0,0,-0.5
5,4,1,12,3.048264182895851,0,0,-0.5
6,0,1,0,0,0,0,-0.5
6,1,1,0,0,0,0,-0.5
6,2,1,0,0,0,0,-0.5
6,3,1,0,0,0,0,-0.5
6,4,1,9,2.2861981371718882,0,0,-0.5
7,0,1,0,0,0,0,-0.5
7,1,1,0,0,0,0,-0.5
7,2,1,0,0,0,0,-0.5
7,3,1,0,0,0,0,-0.5
7,4,1,12,3.048264182895851,0,0,-0.5
8,0,1,0,0,0,0,-0.5
8,1,1,0,0,0,0,-0.5
8,2,1,0,0,0,0,-0.5
8,3,1,0,0,0,0,-0.5
8,4,1,13,3.302286198137172,0,0,-0.5
9,0,1,0,0,0,0,-0.5
9,1,1,0,0,0,0,-0.5
9,2,1,0,0,0,0,-0.5
9,3,1,0,0,0,0,-0.5
9,4,1,17,4.318374259102455,0,0,-0.5
10,0,1,0,0,0,0,-0.5
10,1,1,0,0,0,0,-0.5
10,2,1,0,0,0,0,-0.5
10,3,1,0,0,0,0,-0.5
10,4,1,15,3.8103302286198137,0,0,-0.5
11,0,1,0,0,0,0,-0.5
11,1,1,0,0,0,0,-0.5
11,2,1,0,0,0,0,-0.5
11,3,1,0,0,0,0,-0.5
11,4,1,14,3.556308213378493,0,0,-0.5
