Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
104,A,2,0,0,0,0,0
104,B,2,0,0,0,0,0
104,C,2,0,0,0,0,0
104,D,2,5,1.7921146953405018,0,0,0
104,E,2,284,72.14225232853514,0,0,0
105,A,2,0,0,0,0,0
105,B,2,0,0,0,0,0
105,C,2,0,0,0,0,0
105,D,2,5,1.7921146953405018,0,0,0
105,E,2,278,70.61812023708721,0,0,0
106,A,2,0,0,0,0,0
106,B,2,0,0,0,0,0
106,C,2,0,0,0,0,0
106,D,2,5,1.7921146953405018,0,0,0
106,E,2,255,64.77561388653683,0,0,0
107,A,2,0,0,0,0,0
107,B,2,0,0,0,0,0
107,C,2,0,0,0,0,0
107,D,2,5,1.7921146953405018,0,0,0
107,E,2,235,59.695173581710414,0,0,0
108,A,2,0,0,0,0,0
108,B,2,0,0,0,0,0
108,C,2,0,0,0,0,0
108,D,2,6,2.150537634408602,0,0,0
108,E,2,271,68.83996613039797,0,0,0
109,A,2,0,0,0,0,0
109,B,2,0,0,0,0,0
109,C,2,0,0,0,0,0
109,D,2,8,2.867383512544803,0,0,0
109,E,2,360,91.44792548687553,0,0,0
110,A,2,0,0,0,0,0
110,B,2,0,0,0,0,0
110,C,2,0,0,0,0,0
110,D,2,7,2.5089605734767026,0,0,0
110,E,2,414,105.16511430990687,0,0,0
111,A,2,0,0,0,0,0
111,B,2,0,0,0,0,0
111,C,2,0,0,0,0,0
111,D,2,12,4.301075268817204,0,0,0
111,E,2,476,120.91447925486877,0,0,0
112,A,2,0,0,0,0,0
112,B,2,0,0,0,0,0
112,C,2,0,0,0,0,0
112,D,2,12,4.301075268817204,0,0,0
112,E,2,518,131.58340389500424,0,0,0
113,A,2,0,0,0,0,0
113,B,2,0,0,0,0,0
113,C,2,0,0,0,0,0
113,D,2,10,3.5842293906810037,0,0,0
113,E,2,518,131.58340389500424,0,0,0
114,A,2,0,0,0,0,0
114,B,2,0,0,0,0,0
114,C,2,0,0,0,0,0
114,D,2,10,3.5842293906810037,0,0,0
114,E,2,462,117.35817104149027,0,0,0
115,A,2,0,0,0,0,0
115,B,2,0,0,0,0,0
115,C,2,0,0,0,0,0
115,D,2,12,4.301075268817204,0,0,0
115,E,2,410,104.14902624894158,0,0,0
END SIM
104,A,2,0,0,0,0,0
104,B,2,0,0,0,0,0
104,C,2,0,0,0,0,0
104,D,2,5,1.7921146953405018,0,0,0
104,E,2,314,79.76291278577477,0,0,0
105,A,2,0,0,0,0,0
105,B,2,0,0,0,0,0
105,C,2,0,0,0,0,0
105,D,2,5,1.7921146953405018,0,0,0
105,E,2,299,75.95258255715495,0,0,0
106,A,2,0,0,0,0,0
106,B,2,0,0,0,0,0
106,C,2,0,0,0,0,0
106,D,2,3,1.075268817204301,0,0,0
106,E,2,273,69.3480101608806,0,0,0
107,A,2,0,0,0,0,0
107,B,2,0,0,0,0,0
107,C,2,0,0,0,0,0
107,D,2,2,0.7168458781362007,0,0,0
107,E,2,292,74.17442845046571,0,0,0
108,A,2,0,0,0,0,0
108,B,2,0,0,0,0,0
108,C,2,0,0,0,0,0
108,D,2,1,0.35842293906810035,0,0,0
108,E,2,336,85.35139712108383,0,0,0
109,A,2,0,0,0,0,0
109,B,2,0,0,0,0,0
109,C,2,0,0,0,0,0
109,D,2,1,0.35842293906810035,0,0,0
109,E,2,419,106.43522438611346,0,0,0
110,A,2,0,0,0,0,0
110,B,2,0,0,0,0,0
110,C,2,0,0,0,0,0
110,D,2,2,0.7168458781362007,0,0,0
110,E,2,508,129.04318374259103,0,0,0
111,A,2,0,0,0,0,0
111,B,2,0,0,0,0,0
111,C,2,0,0,0,0,0
111,D,2,3,1.075268817204301,0,0,0
111,E,2,599,152.15918712955124,0,0,0
112,A,2,0,0,0,0,0
112,B,2,0,0,0,0,0
112,C,2,0,0,0,0,0
112,D,2,5,1.7921146953405018,0,0,0
112,E,2,669,169.9407281964437,0,0,0
113,A,2,0,0,0,0,0
113,B,2,0,0,0,0,0
113,C,2,0,0,0,0,0
113,D,2,5,1.7921146953405018,0,0,0
113,E,2,682,173.24301439458088,0,0,0
114,A,2,0,0,0,0,0
114,B,2,0,0,0,0,0
114,C,2,0,0,0,0,0
114,D,2,3,1.075268817204301,0,0,0
114,E,2,595,151.14309906858594,0,0,0
115,A,2,0,0,0,0,0
115,B,2,0,0,0,0,0
115,C,2,0,0,0,0,0
115,D,2,3,1.075268817204301,0,0,0
115,E,2,535,135.9017781541067,0,0,0
END SIM
104,A,2,0,0,0,0,0
104,B,2,0,0,0,0,0
104,C,2,0,0,0,0,0
104,D,2,6,2.150537634408602,0,0,0
104,E,2,311,79.0008467400508,0,0,0
105,A,2,0,0,0,0,0
105,B,2,0,0,0,0,0
105,C,2,0,0,0,0,0
105,D,2,6,2.150537634408602,0,0,0
105,E,2,305,77.47671464860288,0,0,0
106,A,2,0,0,0,0,0
106,B,2,0,0,0,0,0
106,C,2,0,0,0,0,0
106,D,2,6,2.150537634408602,0,0,0
106,E,2,281,71.38018628281118,0,0,0
107,A,2,0,0,0,0,0
107,B,2,0,0,0,0,0
107,C,2,0,0,0,0,0
107,D,2,7,2.5089605734767026,0,0,0
107,E,2,275,69.85605419136326,0,0,0
108,A,2,0,0,0,0,0
108,B,2,0,0,0,0,0
108,C,2,0,0,0,0,0
108,D,2,10,3.5842293906810037,0,0,0
108,E,2,319,81.03302286198138,0,0,0
109,A,2,0,0,0,0,0
109,B,2,0,0,0,0,0
109,C,2,0,0,0,0,0
109,D,2,15,5.376344086021505,0,0,0
109,E,2,403,102.37087214225234,0,0,0
110,A,2,0,0,0,0,0
110,B,2,0,0,0,0,0
110,C,2,0,0,0,0,0
110,D,2,13,4.659498207885305,0,0,0
110,E,2,473,120.1524132091448,0,0,0
111,A,2,0,0,0,0,0
111,B,2,0,0,0,0,0
111,C,2,0,0,0,0,0
111,D,2,14,5.017921146953405,0,0,0
111,E,2,539,136.91786621507197,0,0,0
112,A,2,0,0,0,0,0
112,B,2,0,0,0,0,0
112,C,2,0,0,0,0,0
112,D,2,15,5.376344086021505,0,0,0
112,E,2,599,152.15918712955124,0,0,0
113,A,2,0,0,0,0,0
113,B,2,0,0,0,0,0
113,C,2,0,0,0,0,0
113,D,2,17,6.093189964157706,0,0,0
113,E,2,616,156.4775613886537,0,0,0
114,A,2,0,0,0,0,0
114,B,2,0,0,0,0,0
114,C,2,0,0,0,0,0
114,D,2,16,5.734767025089606,0,0,0
114,E,2,518,131.58340389500424,0,0,0
115,A,2,0,0,0,0,0
115,B,2,0,0,0,0,0
115,C,2,0,0,0,0,0
115,D,2,14,5.017921146953405,0,0,0
115,E,2,471,119.64436917866216,0,0,0
END SIM
