Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
224,A,5,6,1.5757222060110883,0,0,0
224,B,5,11,2.662005915568701,0,0,0
224,C,5,40,9.771986970684038,0,0,0
224,D,5,0,0,0,0,0
224,E,5,4985,1266.299745977985,0,0,0
225,A,5,6,1.5757222060110883,0,0,0
225,B,5,11,2.662005915568701,0,0,0
225,C,5,38,9.283387622149837,0,0,0
225,D,5,0,0,0,0,0
225,E,5,4908,1246.7400508044032,0,0,0
226,A,5,5,1.3131018383425737,0,0,0
226,B,5,8,1.9360043022317825,0,0,0
226,C,5,31,7.57328990228013,0,0,0
226,D,5,0,0,0,0,0
226,E,5,4555,1157.0702794242168,0,0,0
227,A,5,6,1.5757222060110883,0,0,0
227,B,5,5,1.210002688894864,0,0,0
227,C,5,33,8.061889250814332,0,0,0
227,D,5,0,0,0,0,0
227,E,5,4049,1028.5351397121085,0,0,0
228,A,5,8,2.1009629413481177,0,0,0
228,B,5,8,1.9360043022317825,0,0,0
228,C,5,42,10.26058631921824,0,0,0
228,D,5,0,0,0,0,0
228,E,5,4783,1214.9872988992379,0,0,0
229,A,5,16,4.201925882696235,0,0,0
229,B,5,11,2.662005915568701,0,0,0
229,C,5,51,12.459283387622149,0,0,0
229,D,5,0,0,0,0,0
229,E,5,6264,1591.1939034716343,0,0,0
230,A,5,25,6.565509191712868,0,0,0
230,B,5,11,2.662005915568701,0,0,0
230,C,5,64,15.63517915309446,0,0,0
230,D,5,0,0,0,0,0
230,E,5,7847,1993.3107535986453,0,0,0
231,A,5,37,9.716953603735044,0,0,0
231,B,5,11,2.662005915568701,0,0,0
231,C,5,79,19.299674267100976,0,0,0
231,D,5,0,0,0,0,0
231,E,5,10499,2666.9771380186285,0,0,0
232,A,5,47,12.343157280420192,0,0,0
232,B,5,14,3.3880075289056197,0,0,0
232,C,5,103,25.162866449511398,0,0,0
232,D,5,0,0,0,0,0
232,E,5,13154,3341.4055884843356,0,0,0
233,A,5,48,12.605777648088706,0,0,0
233,B,5,16,3.872008604463565,0,0,0
233,C,5,101,24.674267100977197,0,0,0
233,D,5,0,0,0,0,0
