Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
224,A,2,7,1.838342573679603,0,0.1,0
224,B,2,0,0,0,0.1,0
224,C,2,0,0,0,0.1,0
224,D,2,0,0,0,0.1,0
224,E,2,10,2.5402201524132093,0,0.1,0
225,A,2,7,1.838342573679603,0,0.1,0
225,B,2,0,0,0,0.1,0
225,C,2,0,0,0,0.1,0
225,D,2,0,0,0,0.1,0
225,E,2,10,2.5402201524132093,0,0.1,0
226,A,2,5,1.3131018383425737,0,0.1,0
226,B,2,0,0,0,0.1,0
226,C,2,0,0,0,0.1,0
226,D,2,1,0.35842293906810035,0,0.1,0
226,E,2,9,2.2861981371718882,0,0.1,0
227,A,2,7,1.838342573679603,0,0.1,0
227,B,2,0,0,0,0.1,0
227,C,2,0,0,0,0.1,0
227,D,2,2,0.7168458781362007,0,0.1,0
227,E,2,9,2.2861981371718882,0,0.1,0
228,A,2,8,2.1009629413481177,0,0.1,0
228,B,2,0,0,0,0.1,0
228,C,2,0,0,0,0.1,0
228,D,2,2,0.7168458781362007,0,0.1,0
228,E,2,10,2.5402201524132093,0,0.1,0
229,A,2,11,2.888824044353662,0,0.1,0
229,B,2,0,0,0,0.1,0
229,C,2,0,0,0,0.1,0
229,D,2,4,1.4336917562724014,0,0.1,0
229,E,2,18,4.5723962743437765,0,0.1,0
230,A,2,15,3.939305515027721,0,0.1,0
230,B,2,0,0,0,0.1,0
230,C,2,0,0,0,0.1,0
230,D,2,6,2.150537634408602,0,0.1,0
230,E,2,18,4.5723962743437765,0,0.1,0
231,A,2,25,6.565509191712868,0,0.1,0
231,B,2,0,0,0,0.1,0
231,C,2,0,0,0,0.1,0
231,D,2,5,1.7921146953405018,0,0.1,0
231,E,2,24,6.096528365791702,0,0.1,0
232,A,2,36,9.45433323606653,0,0.1,0
232,B,2,0,0,0,0.1,0
232,C,2,0,0,0,0.1,0
232,D,2,9,3.225806451612903,0,0.1,0
232,E,2,31,7.8746824724809485,0,0.1,0
233,A,2,38,9.979573971403559,0,0.1,0
233,B,2,0,0,0,0.1,0
233,C,2,0,0,0,0.1,0
233,D,2,10,3.5842293906810037,0,0.1,0
233,E,2,31,7.8746824724809485,0,0.1,0
234,A,2,36,9.45433323606653,0,0.1,0
234,B,2,0,0,0,0.1,0
234,C,2,0,0,0,0.1,0
234,D,2,9,3.225806451612903,0,0.1,0
234,E,2,27,6.858594411515665,0,0.1,0
235,A,2,35,9.191712868398016,0,0.1,0
235,B,2,0,0,0,0.1,0
235,C,2,0,0,0,0.1,0
235,D,2,9,3.225806451612903,0,0.1,0
235,E,2,22,5.588484335309061,0,0.1,0
END SIM
224,A,2,15,3.939305515027721,0,0.1,0
224,B,2,0,0,0,0.1,0
224,C,2,0,0,0,0.1,0
224,D,2,85,30.46594982078853,0,0.1,0
224,E,2,28,7.112616426756986,0,0.1,0
225,A,2,15,3.939305515027721,0,0.1,0
225,B,2,0,0,0,0.1,0
225,C,2,0,0,0,0.1,0
225,D,2,83,29.74910394265233,0,0.1,0
225,E,2,27,6.858594411515665,0,0.1,0
226,A,2,15,3.939305515027721,0,0.1,0
226,B,2,0,0,0,0.1,0
226,C,2,0,0,0,0.1,0
226,D,2,76,27.240143369175627,0,0.1,0
226,E,2,23,5.842506350550381,0,0.1,0
227,A,2,14,3.676685147359206,0,0.1,0
227,B,2,0,0,0,0.1,0
227,C,2,0,0,0,0.1,0
227,D,2,68,24.372759856630825,0,0.1,0
227,E,2,24,6.096528365791702,0,0.1,0
228,A,2,16,4.201925882696235,0,0.1,0
228,B,2,0,0,0,0.1,0
228,C,2,0,0,0,0.1,0
228,D,2,79,28.315412186379927,0,0.1,0
228,E,2,32,8.128704487722269,0,0.1,0
229,A,2,22,5.777648088707324,0,0.1,0
229,B,2,0,0,0,0.1,0
229,C,2,0,0,0,0.1,0
229,D,2,99,35.483870967741936,0,0.1,0
229,E,2,33,8.38272650296359,0,0.1,0
230,A,2,31,8.141231397723956,0,0.1,0
230,B,2,0,0,0,0.1,0
230,C,2,0,0,0,0.1,0
230,D,2,115,41.21863799283154,0,0.1,0
230,E,2,45,11.430990685859442,0,0.1,0
231,A,2,39,10.242194339072075,0,0.1,0
231,B,2,0,0,0,0.1,0
231,C,2,0,0,0,0.1,0
231,D,2,161,57.70609318996416,0,0.1,0
231,E,2,70,17.781541066892466,0,0.1,0
232,A,2,54,14.181499854099796,0,0.1,0
232,B,2,0,0,0,0.1,0
232,C,2,0,0,0,0.1,0
232,D,2,197,70.60931899641577,0,0.1,0
232,E,2,95,24.132091447925486,0,0.1,0
233,A,2,57,14.969360957105339,0,0.1,0
233,B,2,0,0,0,0.1,0
233,C,2,0,0,0,0.1,0
233,D,2,201,72.04301075268818,0,0.1,0
233,E,2,98,24.894157493649452,0,0.1,0
234,A,2,52,13.656259118762765,0,0.1,0
234,B,2,0,0,0,0.1,0
234,C,2,0,0,0,0.1,0
234,D,2,177,63.44086021505376,0,0.1,0
234,E,2,84,21.33784928027096,0,0.1,0
235,A,2,45,11.817916545083163,0,0.1,0
235,B,2,0,0,0,0.1,0
235,C,2,0,0,0,0.1,0
235,D,2,162,58.064516129032256,0,0.1,0
235,E,2,79,20.067739204064353,0,0.1,0
END SIM
224,A,2,22,5.777648088707324,0,0.1,0
224,B,2,0,0,0,0.1,0
224,C,2,0,0,0,0.1,0
224,D,2,11,3.942652329749104,0,0.1,0
224,E,2,51,12.955122777307366,0,0.1,0
225,A,2,22,5.777648088707324,0,0.1,0
225,B,2,0,0,0,0.1,0
225,C,2,0,0,0,0.1,0
